 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
262.58000000000004,133.26000000000002,17.44,534.5500000000002,29.93999999999999,141.13999999999996,7.550000000000001,102.05999999999999,241.86000000000004,50.65999999999999,174.8699999999999,21.420000000000005,317.8399999999999,29.67,390.69999999999993,167.71999999999997,16.62
286,243,21,284,88,177,15,192,253,95,252,34,257,97,275,237,66
