 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
333.33,103.11999999999998,28.109999999999996,282.92999999999995,74.97999999999998,63.7,23.53,170.40000000000003,135.95999999999987,43.03000000000001,215.72000000000006,109.94000000000003,412.26999999999987,66.28000000000002,115.93999999999998,42.75000000000001,31.1
222,87,58,205,77,66,57,207,210,71,241,136,232,197,183,51,40
