 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
249.67000000000013,84.63,23.41999999999999,579.3699999999995,50.330000000000005,515.25,150.43999999999994,287.6699999999999,38.12000000000002,5.46,397.3199999999997,3.6600000000000006,312.98,0.12,562.53,58.64999999999999,35.56999999999999
300,241,76,300,161,298,257,254,147,10,300,38,299,5,291,137,64
