frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
12, 0, 0.367, 0.98, 1, 0.89, 1.95, 0.16, 0.00, 0.28, 1.38, 0.00, 0.00, 0.56, 0.00, 0.00, 0.00, 0.65, 0.00, 0.85, 0.77, 0.96, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
13, 0, 0.400, 0.98, 1, 0.77, 1.77, 0.00, 0.00, 0.33, 1.52, 0.00, 0.07, 0.65, 0.00, 0.00, 0.00, 0.58, 0.00, 0.87, 0.85, 1.00, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
14, 0, 0.434, 0.98, 1, 0.77, 1.88, 0.00, 0.00, 0.31, 1.45, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.46, 0.00, 0.89, 0.72, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
15, 0, 0.467, 0.98, 1, 0.90, 1.88, 0.06, 0.00, 0.34, 1.57, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.54, 0.00, 0.89, 0.85, 0.97, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
16, 0, 0.501, 0.98, 1, 0.91, 1.95, 0.04, 0.00, 0.30, 1.60, 0.00, 0.00, 0.61, 0.00, 0.00, 0.00, 0.48, 0.00, 0.87, 0.94, 0.90, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
17, 0, 0.534, 0.98, 1, 0.89, 1.84, 0.00, 0.00, 0.25, 1.51, 0.00, 0.00, 0.61, 0.00, 0.00, 0.00, 0.65, 0.00, 0.86, 0.94, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
18, 0, 0.567, 0.98, 1, 0.81, 1.81, 0.00, 0.00, 0.26, 1.57, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.57, 0.00, 0.90, 0.96, 0.92, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
19, 0, 0.601, 0.98, 1, 0.91, 1.87, 0.01, 0.00, 0.37, 1.95, 0.00, 0.00, 0.61, 0.00, 0.00, 0.00, 0.60, 0.00, 0.90, 0.83, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
20, 0, 0.634, 0.98, 1, 0.90, 1.83, 0.00, 0.00, 0.30, 1.92, 0.00, 0.02, 0.63, 0.00, 0.00, 0.00, 0.61, 0.00, 0.91, 0.86, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
21, 0, 0.667, 0.98, 1, 0.75, 1.77, 0.00, 0.00, 0.23, 1.43, 0.00, 0.07, 0.59, 0.00, 0.00, 0.00, 0.49, 0.00, 0.88, 0.93, 0.96, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
