frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 2.19, 0.38, 0.08, 3.26, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 1.10, 0.57, 1.78, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
2, 0, 0.042, 0.98, 1, 2.26, 0.54, 0.00, 3.11, 0.00, 0.00, 0.00, 0.27, 0.00, 0.00, 0.90, 0.57, 1.69, 0.05, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
3, 0, 0.083, 0.98, 1, 2.55, 0.59, 0.38, 3.10, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 1.20, 0.81, 1.87, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
4, 0, 0.125, 0.98, 1, 2.59, 0.57, 0.23, 3.17, 0.00, 0.00, 0.00, 0.68, 0.00, 0.00, 1.30, 0.75, 1.88, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
5, 0, 0.167, 0.98, 1, 2.56, 0.67, 0.08, 3.17, 0.00, 0.00, 0.00, 0.44, 0.00, 0.00, 1.30, 0.87, 1.72, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
6, 0, 0.209, 0.98, 1, 2.66, 0.64, 0.00, 2.89, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 1.45, 1.18, 2.16, 0.00, 0.00, 0.25, 0.00, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0
7, 0, 0.250, 0.98, 1, 2.58, 0.74, 0.00, 2.88, 0.00, 0.00, 0.00, 0.43, 0.02, 0.00, 1.57, 1.21, 2.24, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0.292, 0.22, 0, 1.79, 0.03, 0.40, 0.74, 1.51, 1.54, 0.41, 3.17, 0.66, 1.03, 1.06, 1.84, 0.00, 0.22, 0.13, 0.00, 0.97, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0.334, 0.03, 0, 0.00, 0.00, 0.57, 0.50, 1.52, 1.94, 1.07, 1.53, 0.03, 0.00, 0.92, 1.19, 1.25, 0.75, 0.00, 0.00, 1.49, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0.375, 0.88, 1, 1.55, 0.73, 0.00, 0.00, 0.15, 0.00, 0.00, 0.33, 0.77, 0.00, 1.97, 0.71, 2.31, 0.49, 0.00, 0.00, 1.18, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
11, 0, 0.417, 0.98, 1, 1.84, 0.72, 0.00, 0.29, 1.12, 0.00, 0.00, 0.63, 1.62, 0.12, 1.33, 0.43, 2.35, 0.48, 0.00, 0.00, 1.18, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
12, 0, 0.459, 0.88, 1, 1.81, 1.08, 0.00, 0.00, 1.55, 0.34, 0.00, 0.68, 1.51, 0.45, 1.44, 0.34, 2.89, 0.53, 0.00, 0.00, 1.65, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
13, 0, 0.501, 0.98, 1, 1.61, 1.76, 0.00, 0.74, 1.74, 1.32, 0.00, 1.30, 1.84, 0.23, 0.54, 0.00, 2.67, 0.00, 1.16, 0.00, 1.34, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
14, 0, 0.542, 0.98, 1, 1.19, 2.11, 0.00, 0.42, 1.63, 1.24, 0.00, 1.63, 2.30, 0.92, 0.50, 0.00, 3.33, 0.00, 1.61, 0.00, 0.77, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
