frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
2, 0, 0.040, 0.98, 1,0.0,1.065,0.475,0.6333333333333333,0.26666666666666666,0.19999999999999998,0
3, 0, 0.080, 0.98, 1,0.0,1.105,0.5325,0.8300000000000001,0.26666666666666666,0.25333333333333335,0
4, 0, 0.120, 0.98, 1,0.0,1.05,0.5549999999999999,0.87,0.3666666666666667,0.22999999999999998,0
5, 0, 0.160, 0.98, 1,0.0,0.975,0.5725,0.8966666666666666,0.3633333333333333,0.22,0
6, 0, 0.200, 0.98, 1,0.0,1.155,0.6425000000000001,1.1166666666666667,0.33,0.25666666666666665,0
7, 0, 0.240, 0.98, 1,0.0,0.875,0.6025,0.9666666666666667,0.47000000000000003,0.23666666666666666,0
8, 0, 0.280, 0.98, 1,0.0,0.79,0.5425,0.8666666666666667,0.45999999999999996,0.26,0
9, 0, 0.320, 0.98, 1,0.0,0.78,0.5825,1.0333333333333334,0.4633333333333334,0.2966666666666667,0
10, 0, 0.360, 0.98, 1,0.0,0.785,0.5425,1.0933333333333335,0.4033333333333333,0.3133333333333333,0
13, 0, 0.480, 0.98, 1,0.18,1.715,1.9125,1.4900000000000002,1.0933333333333333,0.19666666666666666,0
14, 0, 0.520, 0.98, 1,0.095,1.9,1.8125000000000002,1.5466666666666666,0.84,0.29,0
15, 0, 0.560, 0.98, 1,0.015,1.8599999999999999,1.77,1.17,0.8033333333333332,0.3433333333333333,0
16, 0, 0.600, 0.98, 1,0.02,1.925,1.8075,1.37,0.8733333333333334,0.3433333333333333,0
17, 0, 0.640, 0.98, 1,0.0,1.9500000000000002,1.77,1.3,0.85,0.37000000000000005,0
18, 0, 0.680, 0.98, 1,0.0,1.785,1.635,1.24,0.7833333333333333,0.35333333333333333,0
19, 0, 0.720, 0.98, 1,0.0,1.8450000000000002,1.6325,1.2966666666666666,0.7666666666666666,0.32,0
20, 0, 0.760, 0.98, 1,0.0,1.985,1.4725,1.2533333333333334,0.6133333333333334,0.4166666666666667,0
21, 0, 0.800, 0.98, 1,0.0,2.04,1.5899999999999999,1.1933333333333334,0.6133333333333334,0.4566666666666667,0
22, 0, 0.840, 0.98, 1,0.0,2.025,1.6150000000000002,1.1500000000000001,0.7666666666666667,0.48333333333333334,0
23, 0, 0.880, 0.98, 1,0.0,2.12,1.725,1.18,0.9033333333333333,0.5033333333333333,0
24, 0, 0.920, 0.98, 1,0.0,2.1,1.6625,1.1733333333333333,0.8166666666666668,0.5333333333333333,0
25, 0, 0.960, 0.98, 1,0.0,2.24,1.655,1.24,0.6833333333333332,0.48666666666666664,0
26, 0, 1.000, 0.98, 1,0.0,2.21,1.6949999999999998,1.1866666666666668,0.7999999999999999,0.5866666666666667,0
27, 0, 1.040, 0.98, 1,0.0,2.3,1.655,1.2233333333333334,0.7266666666666666,0.7933333333333333,0
28, 0, 1.080, 0.98, 1,0.0,2.09,1.5524999999999998,1.14,0.7399999999999999,0.73,0
29, 0, 1.120, 0.98, 1,0.0,2.12,1.47,1.1666666666666667,0.6033333333333334,0.65,0
30, 0, 1.160, 0.98, 1,0.0,2.06,1.4849999999999999,1.1366666666666667,0.7233333333333333,0.73,0
31, 0, 1.200, 0.98, 1,0.0,2.3000000000000003,1.62,1.2266666666666668,0.69,0.7533333333333333,0
32, 0, 1.240, 0.98, 1,0.0,2.16,1.3849999999999998,1.09,0.7000000000000001,0.7133333333333334,0
33, 0, 1.280, 0.98, 1,0.0,2.1950000000000003,1.33,1.1233333333333333,0.6333333333333333,0.6933333333333334,0
34, 0, 1.320, 0.98, 1,0.0,2.185,1.415,1.1166666666666667,0.8300000000000001,0.7366666666666667,0
35, 0, 1.360, 0.98, 1,0.0,2.245,1.41,1.0866666666666667,0.86,0.7733333333333333,0
36, 0, 1.400, 0.98, 1,0.0,2.455,1.5650000000000002,1.1366666666666667,0.91,0.8233333333333334,0
37, 0, 1.440, 0.98, 1,0.0,2.025,1.3325,0.98,0.9633333333333334,0.7799999999999999,0
38, 0, 1.480, 0.98, 1,0.0,2.0949999999999998,1.345,1.0433333333333332,0.9233333333333333,0.8366666666666666,0
39, 0, 1.520, 0.98, 1,0.0,2.175,1.3725,1.1233333333333333,0.8233333333333333,0.8233333333333334,0
40, 0, 1.560, 0.98, 1,0.0,2.215,1.4549999999999998,1.1033333333333333,0.6699999999999999,0.7033333333333333,0
41, 0, 1.600, 0.98, 1,0.0,2.245,1.4075,1.1233333333333333,0.6699999999999999,0.75,0
42, 0, 1.640, 0.98, 1,0.0,2.195,1.49,1.0866666666666667,0.6433333333333334,0.7833333333333333,0
43, 0, 1.680, 0.98, 1,0.0,2.32,1.5275,1.2033333333333334,0.6366666666666667,0.7366666666666667,0
44, 0, 1.720, 0.98, 1,0.0,2.17,1.455,1.08,0.59,0.7633333333333333,0
45, 0, 1.760, 0.98, 1,0.0,2.33,1.53,1.1666666666666667,0.6966666666666667,0.7799999999999999,0
46, 0, 1.800, 0.98, 1,0.0,2.3,1.5125,1.1633333333333333,0.8366666666666666,0.8433333333333333,0
51, 0, 2.000, 0.98, 1,0.0,2.31,1.5524999999999998,1.14,0.85,0.7966666666666667,0
52, 0, 2.040, 0.98, 1,0.0,2.27,1.5374999999999999,1.0633333333333332,0.7633333333333333,0.7999999999999999,0
53, 0, 2.080, 0.98, 1,0.0,2.35,1.5675,1.08,0.8566666666666668,0.9033333333333333,0
54, 0, 2.120, 0.98, 1,0.0,2.41,1.5975,1.14,0.6966666666666667,0.8066666666666666,0
55, 0, 2.160, 0.98, 1,0.0,2.385,1.5325,1.0933333333333333,0.7166666666666667,0.7999999999999999,0
56, 0, 2.200, 0.98, 1,0.0,2.325,1.5425,1.1733333333333333,0.6699999999999999,0.8466666666666667,0
57, 0, 2.240, 0.98, 1,0.0,2.15,1.4224999999999999,1.0733333333333333,0.6033333333333334,0.7866666666666666,0
58, 0, 2.280, 0.98, 1,0.0,2.145,1.6425,1.1033333333333333,0.7166666666666667,0.7433333333333333,0
59, 0, 2.320, 0.98, 1,0.0,2.1,1.6525,1.0833333333333333,0.7333333333333334,0.65,0
60, 0, 2.360, 0.98, 1,0.0,2.05,1.7600000000000002,1.07,0.75,0.79,0
61, 0, 2.400, 0.98, 1,0.0,2.115,1.575,1.0366666666666666,0.6466666666666666,0.7333333333333334,0
62, 0, 2.440, 0.98, 1,0.0,2.0549999999999997,1.5574999999999999,1.0033333333333332,0.6833333333333332,0.6133333333333334,0
63, 0, 2.480, 0.98, 1,0.0,2.17,1.665,1.0866666666666667,0.6733333333333333,0.6766666666666666,0
64, 0, 2.520, 0.98, 1,0.0,2.0300000000000002,1.68,1.0266666666666666,0.7466666666666666,0.6133333333333334,0
65, 0, 2.560, 0.98, 1,0.0,2.05,1.605,1.0133333333333334,0.75,0.71,0
66, 0, 2.600, 0.98, 1,0.0,2.02,1.4875,1.0333333333333334,0.6466666666666666,0.62,0
67, 0, 2.640, 0.98, 1,0.155,2.285,1.6624999999999999,1.0999999999999999,0.7733333333333333,0.64,0
68, 0, 2.680, 0.98, 1,0.13,2.0549999999999997,1.64,1.0033333333333332,0.7833333333333333,0.5833333333333334,0
69, 0, 2.720, 0.98, 1,0.075,2.17,1.5525,1.02,0.6866666666666665,0.6533333333333333,0
70, 0, 2.760, 0.98, 1,0.13,2.185,1.705,1.0633333333333332,0.79,0.69,0
71, 0, 2.800, 0.98, 1,0.105,2.32,1.6925,1.1533333333333333,0.7699999999999999,0.7566666666666667,0
72, 0, 2.840, 0.98, 1,0.215,2.4450000000000003,1.7525,1.2333333333333334,0.7733333333333333,0.68,0
73, 0, 2.880, 0.98, 1,0.315,2.235,1.835,1.1199999999999999,0.9699999999999999,0.6,0
74, 0, 2.920, 0.98, 1,0.225,2.41,1.83,1.2266666666666668,0.9500000000000001,0.62,0
