frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.93, 1,0,0,0,1.7633333333333334,0,0,0
2, 0, 0.033, 0.98, 1,0,0,0,1.5866666666666667,0,0,0
3, 0, 0.067, 0.98, 1,0,0,0,1.5899999999999999,0,0,0
4, 0, 0.100, 0.98, 1,0,0,0,1.54,0,0,0
5, 0, 0.133, 0.98, 1,0,0,0,1.39,0,0,0
6, 0, 0.167, 0.98, 1,0,1.5099999999999998,0,0,0,0,0
7, 0, 0.200, 0.98, 1,0,1.5150000000000001,0,0,0,0,0
8, 0, 0.234, 0.98, 1,0,1.53,0,0,0,0,0
9, 0, 0.267, 0.98, 1,0,1.57,0,0,0,0,0
10, 0, 0.300, 0.98, 1,0,1.465,0,0,0,0,0
11, 0, 0.334, 0.98, 1,0,0,0,1.3966666666666665,0,0,0
12, 0, 0.367, 0.98, 1,0,0,0,1.6000000000000003,0,0,0
13, 0, 0.400, 0.98, 1,0,0,0,1.53,0,0,0
14, 0, 0.434, 0.98, 1,0,0,0,1.5400000000000003,0,0,0
15, 0, 0.467, 0.98, 1,0,0,0,1.5033333333333332,0,0,0
16, 0, 0.501, 0.98, 1,0,0,0,1.5333333333333332,0,0,0
17, 0, 0.534, 0.98, 1,0,0,0,1.4800000000000002,0,0,0
18, 0, 0.567, 0.98, 1,0,0,0,1.5733333333333333,0,0,0
19, 0, 0.601, 0.98, 1,0,0,0,1.38,0,0,0
20, 0, 0.634, 0.98, 1,0,0,0,1.2866666666666668,0,0,0
21, 0, 0.667, 0.98, 1,0,0,0,1.2766666666666666,0,0,0
22, 0, 0.701, 0.98, 1,0,0,0,1.4999999999999998,0,0,0
23, 0, 0.734, 0.98, 1,0,0,0,1.4433333333333334,0,0,0
24, 0, 0.767, 0.98, 1,0,0,0,1.3833333333333335,0,0,0
25, 0, 0.801, 0.98, 1,0,0,0,1.3633333333333333,0,0,0
26, 0, 0.834, 0.98, 1,0,0,0,1.3733333333333333,0,0,0
27, 0, 0.868, 0.98, 1,0,0,0,1.4133333333333333,0,0,0
28, 0, 0.901, 0.98, 1,0,0,0,1.5033333333333332,0,0,0
29, 0, 0.934, 0.98, 1,0,0,0,1.4166666666666667,0,0,0
30, 0, 0.968, 0.98, 1,0,0,0,1.4666666666666668,0,0,0
31, 0, 1.001, 0.98, 1,0,0,0,1.51,0,0,0
32, 0, 1.034, 0.98, 1,0,0,0,1.4100000000000001,0,0,0
33, 0, 1.068, 0.98, 1,0,1.395,0,0,0,0,0
34, 0, 1.101, 0.98, 1,0,1.395,0,0,0,0,0
35, 0, 1.134, 0.98, 1,0,1.4449999999999998,0,0,0,0,0
36, 0, 1.168, 0.98, 1,0,0,0,1.5599999999999998,0,0,0
37, 0, 1.201, 0.98, 1,0,0,0,1.513333333333333,0,0,0
38, 0, 1.235, 0.98, 1,0,1.52,0,0,0,0,0
39, 0, 1.268, 0.98, 1,0,1.5799999999999998,0,0,0,0,0
40, 0, 1.301, 0.98, 1,0,1.54,0,0,0,0,0
41, 0, 1.335, 0.98, 1,0,0,0,1.5166666666666666,0,0,0
42, 0, 1.368, 0.98, 1,0,1.51,0,0,0,0,0
43, 0, 1.401, 0.98, 1,0,0,0,1.5433333333333332,0,0,0
44, 0, 1.435, 0.98, 1,0,1.355,0,0,0,0,0
45, 0, 1.468, 0.98, 1,0,0,0,1.37,0,0,0
46, 0, 1.502, 0.98, 1,0,0,0,1.33,0,0,0
47, 0, 1.535, 0.98, 1,0,1.315,0,0,0,0,0
48, 0, 1.568, 0.98, 1,0,1.37,0,0,0,0,0
49, 0, 1.602, 0.98, 1,0,1.455,0,0,0,0,0
50, 0, 1.635, 0.98, 1,0,1.31,0,0,0,0,0
51, 0, 1.668, 0.98, 1,0,1.3399999999999999,0,0,0,0,0
52, 0, 1.702, 0.98, 1,0,1.345,0,0,0,0,0
53, 0, 1.735, 0.98, 1,0,0,0,1.3466666666666667,0,0,0
54, 0, 1.768, 0.98, 1,0,1.33,0,0,0,0,0
55, 0, 1.802, 0.98, 1,0,1.535,0,0,0,0,0
56, 0, 1.835, 0.98, 1,0,1.43,0,0,0,0,0
57, 0, 1.869, 0.98, 1,0,1.4649999999999999,0,0,0,0,0
58, 0, 1.902, 0.98, 1,0,0,0,1.55,0,0,0
59, 0, 1.935, 0.98, 1,0,1.52,0,0,0,0,0
60, 0, 1.969, 0.98, 1,0,0,0,1.58,0,0,0
61, 0, 2.002, 0.98, 1,0,1.5350000000000001,0,0,0,0,0
62, 0, 2.035, 0.98, 1,0,0,0,1.6333333333333335,0,0,0
63, 0, 2.069, 0.98, 1,0,1.5,0,0,0,0,0
64, 0, 2.102, 0.98, 1,0,0,0,1.5366666666666664,0,0,0
65, 0, 2.135, 0.98, 1,0,1.59,0,0,0,0,0
66, 0, 2.169, 0.98, 1,0,0,0,1.4833333333333332,0,0,0
67, 0, 2.202, 0.98, 1,0,1.57,0,0,0,0,0
68, 0, 2.236, 0.98, 1,0,1.525,0,0,0,0,0
69, 0, 2.269, 0.98, 1,0,0,0,1.5333333333333332,0,0,0
70, 0, 2.302, 0.98, 1,0,0,0,1.5899999999999999,0,0,0
71, 0, 2.336, 0.98, 1,0,0,0,1.49,0,0,0
72, 0, 2.369, 0.98, 1,0,0,0,1.6466666666666665,0,0,0
73, 0, 2.402, 0.98, 1,0,0,0,1.5466666666666669,0,0,0
74, 0, 2.436, 0.98, 1,0,0,0,1.6933333333333334,0,0,0
75, 0, 2.469, 0.98, 1,0,0,0,1.7766666666666666,0,0,0
76, 0, 2.503, 0.98, 1,0,0,0,1.7833333333333332,0,0,0
77, 0, 2.536, 0.98, 1,0,0,0,1.95,0,0,0
78, 0, 2.569, 0.98, 1,0,0,0,1.93,0,0,0
79, 0, 2.603, 0.98, 1,0,0,0,1.8133333333333335,0,0,0
80, 0, 2.636, 0.98, 1,0,0,0,1.7433333333333334,0,0,0
81, 0, 2.669, 0.98, 1,0,0,0,1.8833333333333335,0,0,0
82, 0, 2.703, 0.93, 1,0,0,0,1.8033333333333335,0,0,0
83, 0, 2.736, 0.98, 1,0,0,0,1.7733333333333334,0,0,0
84, 0, 2.769, 0.98, 1,0,0,0,1.8133333333333332,0,0,0
85, 0, 2.803, 0.98, 1,0,0,0,1.7966666666666669,0,0,0
86, 0, 2.836, 0.98, 1,0,0,0,1.63,0,0,0
87, 0, 2.870, 0.98, 1,0,1.565,0,0,0,0,0
88, 0, 2.903, 0.98, 1,0,1.6500000000000001,0,0,0,0,0
89, 0, 2.936, 0.98, 1,0,1.705,0,0,0,0,0
90, 0, 2.970, 0.98, 1,0,1.595,0,0,0,0,0
91, 0, 3.003, 0.98, 1,0,0,0,1.543333333333333,0,0,0
92, 0, 3.036, 0.98, 1,0,0,0,1.5599999999999998,0,0,0
93, 0, 3.070, 0.98, 1,0,0,0,1.5166666666666666,0,0,0
94, 0, 3.103, 0.98, 1,0,1.59,0,0,0,0,0
95, 0, 3.136, 0.98, 1,0,1.54,0,0,0,0,0
96, 0, 3.170, 0.98, 1,0,1.69,0,0,0,0,0
97, 0, 3.203, 0.98, 1,0,1.525,0,0,0,0,0
98, 0, 3.237, 0.98, 1,0,1.455,0,0,0,0,0
99, 0, 3.270, 0.98, 1,0,1.56,0,0,0,0,0
100, 0, 3.303, 0.98, 1,0,1.4300000000000002,0,0,0,0,0
101, 0, 3.337, 0.98, 1,0,1.535,0,0,0,0,0
102, 0, 3.370, 0.98, 1,0,1.605,0,0,0,0,0
103, 0, 3.403, 0.98, 1,0,1.585,0,0,0,0,0
104, 0, 3.437, 0.98, 1,0,1.4249999999999998,0,0,0,0,0
105, 0, 3.470, 0.98, 1,0,1.51,0,0,0,0,0
106, 0, 3.504, 0.98, 1,0,1.455,0,0,0,0,0
107, 0, 3.537, 0.98, 1,0,0,0,1.4433333333333334,0,0,0
108, 0, 3.570, 0.98, 1,0,0,0,1.34,0,0,0
109, 0, 3.604, 0.98, 1,0,1.37,0,0,0,0,0
110, 0, 3.637, 0.98, 1,0,1.38,0,0,0,0,0
111, 0, 3.670, 0.98, 1,0,0,0,1.2533333333333332,0,0,0
112, 0, 3.704, 0.98, 1,0,0,0,1.3966666666666667,0,0,0
113, 0, 3.737, 0.98, 1,0,1.39,0,0,0,0,0
114, 0, 3.770, 0.98, 1,0,1.355,0,0,0,0,0
115, 0, 3.804, 0.98, 1,0,1.42,0,0,0,0,0
116, 0, 3.837, 0.98, 1,0,1.5099999999999998,0,0,0,0,0
117, 0, 3.871, 0.98, 1,0,1.325,0,0,0,0,0
118, 0, 3.904, 0.98, 1,0,1.405,0,0,0,0,0
119, 0, 3.937, 0.98, 1,0,1.525,0,0,0,0,0
120, 0, 3.971, 0.98, 1,0,1.5350000000000001,0,0,0,0,0
121, 0, 4.004, 0.98, 1,0,1.52,0,0,0,0,0
122, 0, 4.037, 0.98, 1,0,1.42,0,0,0,0,0
123, 0, 4.071, 0.98, 1,0,1.435,0,0,0,0,0
124, 0, 4.104, 0.98, 1,0,0,0,1.4000000000000001,0,0,0
125, 0, 4.137, 0.98, 1,0,1.545,0,0,0,0,0
126, 0, 4.171, 0.98, 1,0,0,0,1.4533333333333334,0,0,0
127, 0, 4.204, 0.98, 1,0,1.465,0,0,0,0,0
128, 0, 4.238, 0.98, 1,0,1.4349999999999998,0,0,0,0,0
129, 0, 4.271, 0.98, 1,0,1.465,0,0,0,0,0
130, 0, 4.304, 0.98, 1,0,1.51,0,0,0,0,0
131, 0, 4.338, 0.98, 1,0,1.4449999999999998,0,0,0,0,0
132, 0, 4.371, 0.98, 1,0,1.45,0,0,0,0,0
133, 0, 4.404, 0.98, 1,0,0,0,1.6333333333333335,0,0,0
134, 0, 4.438, 0.98, 1,0,0,0,1.6966666666666665,0,0,0
135, 0, 4.471, 0.98, 1,0,1.68,0,0,0,0,0
136, 0, 4.505, 0.98, 1,0,1.73,0,0,0,0,0
137, 0, 4.538, 0.98, 1,0,1.745,0,0,0,0,0
138, 0, 4.571, 0.98, 1,0,1.63,0,0,0,0,0
139, 0, 4.605, 0.98, 1,0,1.76,0,0,0,0,0
140, 0, 4.638, 0.98, 1,0,1.69,0,0,0,0,0
141, 0, 4.671, 0.98, 1,0,0,0,1.6433333333333333,0,0,0
142, 0, 4.705, 0.98, 1,0,1.685,0,0,0,0,0
143, 0, 4.738, 0.98, 1,0,1.685,0,0,0,0,0
144, 0, 4.771, 0.98, 1,0,1.72,0,0,0,0,0
145, 0, 4.805, 0.98, 1,0,1.705,0,0,0,0,0
146, 0, 4.838, 0.98, 1,0,1.675,0,0,0,0,0
147, 0, 4.872, 0.98, 1,0,1.635,0,0,0,0,0
148, 0, 4.905, 0.98, 1,0,1.52,0,0,0,0,0
149, 0, 4.938, 0.98, 1,0,1.3900000000000001,0,0,0,0,0
150, 0, 4.972, 0.98, 1,0,1.395,0,0,0,0,0
151, 0, 5.005, 0.98, 1,0,1.38,0,0,0,0,0
152, 0, 5.038, 0.98, 1,0,1.3599999999999999,0,0,0,0,0
153, 0, 5.072, 0.98, 1,0,0,0,1.3966666666666665,0,0,0
154, 0, 5.105, 0.98, 1,0,0,0,1.3499999999999999,0,0,0
155, 0, 5.138, 0.98, 1,0,0,0,1.36,0,0,0
156, 0, 5.172, 0.98, 1,0,1.395,0,0,0,0,0
157, 0, 5.205, 0.98, 1,0,1.565,0,0,0,0,0
158, 0, 5.239, 0.98, 1,0,1.5050000000000001,0,0,0,0,0
159, 0, 5.272, 0.98, 1,0,1.535,0,0,0,0,0
160, 0, 5.305, 0.98, 1,0,0,0,1.5833333333333333,0,0,0
161, 0, 5.339, 0.98, 1,0,1.55,0,0,0,0,0
162, 0, 5.372, 0.98, 1,0,1.54,0,0,0,0,0
163, 0, 5.405, 0.98, 1,0,0,0,1.6566666666666665,0,0,0
164, 0, 5.439, 0.98, 1,0,0,0,1.64,0,0,0
165, 0, 5.472, 0.98, 1,0,0,0,1.67,0,0,0
166, 0, 5.506, 0.98, 1,0,0,0,1.5733333333333335,0,0,0
167, 0, 5.539, 0.98, 1,0,0,0,1.7866666666666664,0,0,0
168, 0, 5.572, 0.98, 1,0,0,0,1.656666666666667,0,0,0
169, 0, 5.606, 0.98, 1,0,0,0,1.5466666666666669,0,0,0
170, 0, 5.639, 0.98, 1,0,1.395,0,0,0,0,0
171, 0, 5.672, 0.98, 1,0,0,0,1.4866666666666666,0,0,0
172, 0, 5.706, 0.98, 1,0,1.5499999999999998,0,0,0,0,0
173, 0, 5.739, 0.98, 1,0,1.395,0,0,0,0,0
174, 0, 5.772, 0.98, 1,0,1.425,0,0,0,0,0
175, 0, 5.806, 0.98, 1,0,1.43,0,0,0,0,0
176, 0, 5.839, 0.98, 1,0,1.38,0,0,0,0,0
177, 0, 5.873, 0.98, 1,0,1.56,0,0,0,0,0
178, 0, 5.906, 0.98, 1,0,1.54,0,0,0,0,0
179, 0, 5.939, 0.98, 1,0,1.57,0,0,0,0,0
180, 0, 5.973, 0.98, 1,0,1.665,0,0,0,0,0
181, 0, 6.006, 0.98, 1,0,1.58,0,0,0,0,0
182, 0, 6.039, 0.98, 1,0,1.52,0,0,0,0,0
183, 0, 6.073, 0.98, 1,0,0,0,1.5599999999999998,0,0,0
184, 0, 6.106, 0.98, 1,0,1.5599999999999998,0,0,0,0,0
185, 0, 6.139, 0.98, 1,0,1.595,0,0,0,0,0
186, 0, 6.173, 0.98, 1,0,1.595,0,0,0,0,0
187, 0, 6.206, 0.98, 1,0,1.6500000000000001,0,0,0,0,0
188, 0, 6.240, 0.98, 1,0,1.7,0,0,0,0,0
189, 0, 6.273, 0.98, 1,0,1.625,0,0,0,0,0
190, 0, 6.306, 0.98, 1,0,1.645,0,0,0,0,0
