frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.93, 1, 0.36, 0.00, 0.00, 2.12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.93, 0.00, 0.00, 0.00, 0.51, 0.20, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
2, 0, 0.033, 0.93, 1, 0.90, 0.60, 0.00, 2.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.83, 0.00, 0.00, 0.00, 0.74, 0.45, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
3, 0, 0.067, 0.93, 1, 0.86, 0.51, 0.00, 1.83, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.00, 0.00, 0.86, 0.36, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
4, 0, 0.100, 0.93, 1, 1.02, 0.66, 0.00, 2.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.75, 0.00, 0.36, 0.00, 1.08, 0.16, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
5, 0, 0.133, 0.93, 1, 0.69, 0.59, 0.00, 2.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.00, 0.00, 1.09, 0.63, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
6, 0, 0.167, 0.93, 1, 0.78, 0.36, 0.00, 2.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 0.10, 0.00, 1.14, 0.50, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
7, 0, 0.200, 0.93, 1, 0.94, 0.57, 0.00, 2.33, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 0.00, 0.00, 0.00, 1.10, 0.61, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
8, 0, 0.234, 0.93, 1, 0.87, 0.31, 0.00, 1.58, 0.00, 0.00, 0.00, 0.00, 0.12, 0.00, 0.83, 0.00, 0.00, 0.00, 1.28, 0.51, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
9, 0, 0.267, 0.93, 1, 0.91, 0.45, 0.00, 1.53, 0.00, 0.00, 0.00, 0.25, 0.22, 0.00, 0.57, 0.00, 0.00, 0.00, 1.35, 0.17, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
10, 0, 0.300, 0.93, 1, 0.81, 0.15, 0.00, 1.78, 0.00, 0.00, 0.00, 0.28, 0.32, 0.00, 0.65, 0.00, 0.00, 0.00, 1.44, 0.37, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
11, 0, 0.334, 0.93, 1, 0.60, 0.22, 0.00, 1.28, 0.00, 0.06, 0.00, 0.37, 0.48, 0.00, 0.58, 0.00, 0.43, 0.00, 1.52, 0.12, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
12, 0, 0.367, 0.93, 1, 1.10, 0.38, 0.00, 1.62, 0.00, 0.12, 0.00, 0.50, 0.39, 0.00, 0.58, 0.00, 0.40, 0.00, 1.52, 0.13, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
13, 0, 0.400, 0.93, 1, 0.83, 0.13, 0.00, 2.00, 0.00, 0.00, 0.00, 0.39, 0.52, 0.00, 0.79, 0.00, 0.24, 0.00, 1.59, 0.20, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
14, 0, 0.434, 0.93, 1, 0.54, 0.00, 0.00, 1.38, 0.00, 0.00, 0.00, 0.12, 0.54, 0.00, 0.63, 0.00, 0.35, 0.00, 1.70, 0.27, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
15, 0, 0.467, 0.93, 1, 0.52, 0.00, 0.00, 0.84, 0.00, 0.00, 0.00, 0.37, 0.64, 0.00, 0.48, 0.00, 0.22, 0.00, 1.67, 0.30, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
16, 0, 0.501, 0.93, 1, 0.57, 0.00, 0.00, 1.59, 0.00, 0.00, 0.00, 0.43, 0.60, 0.00, 0.49, 0.00, 0.45, 0.00, 1.66, 0.34, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
17, 0, 0.534, 0.93, 1, 0.86, 0.00, 0.00, 1.42, 0.00, 0.00, 0.00, 0.44, 0.78, 0.00, 0.52, 0.00, 0.41, 0.00, 1.67, 0.13, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
18, 0, 0.567, 0.93, 1, 1.05, 0.00, 0.00, 0.92, 0.00, 0.08, 0.00, 0.29, 0.83, 0.00, 0.57, 0.00, 0.39, 0.00, 1.72, 0.28, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
19, 0, 0.601, 0.93, 1, 0.73, 0.08, 0.00, 1.53, 0.00, 0.00, 0.00, 0.30, 0.93, 0.00, 0.55, 0.00, 0.51, 0.00, 1.76, 0.30, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
20, 0, 0.634, 0.93, 1, 0.41, 0.00, 0.00, 1.81, 0.00, 0.00, 0.00, 0.25, 1.04, 0.00, 0.72, 0.00, 0.34, 0.00, 1.81, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
21, 0, 0.667, 0.98, 1, 0.66, 0.00, 0.00, 2.12, 0.00, 0.00, 0.00, 0.44, 0.98, 0.00, 0.52, 0.00, 0.45, 0.00, 1.65, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
22, 0, 0.701, 0.93, 1, 0.70, 0.02, 0.00, 1.88, 0.00, 0.00, 0.00, 0.18, 1.10, 0.00, 0.31, 0.00, 0.47, 0.00, 1.66, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
