frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 2.07, 0.42, 0.00, 2.05, 0.00, 0.00, 0.00, 0.00, 0.07, 0.06, 1.35, 1.86, 1.99, 0.12, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0.042, 0.98, 1, 2.28, 0.55, 0.00, 2.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.16, 1.43, 2.23, 1.90, 0.36, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0.083, 0.98, 1, 2.13, 0.29, 0.00, 2.13, 0.00, 0.00, 0.00, 0.23, 0.00, 0.16, 1.37, 2.00, 2.05, 0.29, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0.125, 0.98, 1, 2.25, 0.33, 0.00, 1.76, 0.00, 0.00, 0.00, 0.09, 0.00, 0.00, 1.33, 1.80, 1.82, 0.10, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0, 0.167, 0.98, 1, 2.51, 0.25, 0.00, 1.87, 0.00, 0.00, 0.00, 0.03, 0.00, 0.00, 1.54, 1.80, 1.77, 0.22, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0.209, 0.98, 1, 2.31, 0.19, 0.00, 1.86, 0.00, 0.00, 0.00, 0.28, 0.01, 0.00, 1.53, 1.70, 1.96, 0.10, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0, 0.250, 0.98, 1, 2.25, 0.24, 0.00, 1.81, 0.00, 0.00, 0.00, 0.25, 0.00, 0.00, 1.52, 1.83, 2.06, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0.292, 0.98, 1, 2.23, 0.20, 0.00, 1.79, 0.00, 0.00, 0.00, 0.04, 0.12, 0.00, 1.63, 1.84, 1.98, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0.334, 0.98, 1, 2.20, 0.25, 0.00, 1.92, 0.00, 0.00, 0.00, 0.06, 0.09, 0.00, 1.67, 1.90, 1.88, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0.375, 0.98, 1, 2.27, 0.25, 0.00, 1.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.62, 2.13, 1.96, 0.00, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 0, 0.417, 0.98, 1, 2.03, 0.17, 0.00, 1.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.52, 2.36, 1.78, 0.16, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 0, 0.459, 0.98, 1, 2.07, 0.28, 0.00, 1.66, 0.00, 0.00, 0.00, 0.04, 0.00, 0.00, 1.74, 2.31, 2.01, 0.12, 0.00, 0.00, 0.05, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 0, 0.501, 0.98, 1, 2.09, 0.39, 0.00, 1.75, 0.00, 0.00, 0.00, 0.00, 0.06, 0.00, 1.68, 2.34, 1.86, 0.18, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 0, 0.542, 0.98, 1, 2.28, 0.40, 0.00, 1.56, 0.00, 0.00, 0.00, 0.00, 0.08, 0.00, 1.76, 2.34, 2.03, 0.01, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 0, 0.584, 0.98, 1, 2.09, 0.32, 0.00, 1.59, 0.00, 0.00, 0.00, 0.00, 0.03, 0.00, 1.71, 2.24, 1.81, 0.03, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 0, 0.626, 0.98, 1, 1.89, 0.24, 0.00, 1.73, 0.00, 0.00, 0.00, 0.00, 0.02, 0.00, 1.59, 2.62, 1.92, 0.23, 0.00, 0.28, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 0, 0.667, 0.98, 1, 2.05, 0.35, 0.00, 1.56, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.69, 2.40, 1.92, 0.20, 0.00, 0.14, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 0, 0.709, 0.98, 1, 2.10, 0.35, 0.00, 1.61, 0.00, 0.00, 0.00, 0.00, 0.01, 0.00, 1.73, 2.52, 2.02, 0.17, 0.00, 0.07, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 0, 0.751, 0.98, 1, 2.11, 0.34, 0.00, 1.72, 0.00, 0.00, 0.00, 0.00, 0.10, 0.31, 1.67, 2.43, 1.95, 0.28, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 0, 0.792, 0.98, 1, 2.03, 0.29, 0.00, 1.95, 0.00, 0.00, 0.00, 0.11, 0.02, 0.00, 1.72, 2.47, 1.73, 0.24, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 0, 0.834, 0.98, 1, 1.99, 0.39, 0.00, 2.24, 0.00, 0.00, 0.00, 0.16, 0.08, 0.00, 1.63, 2.38, 1.55, 0.31, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 0, 0.876, 0.98, 1, 1.94, 0.61, 0.00, 2.26, 0.00, 0.00, 0.00, 0.00, 0.04, 0.00, 1.57, 2.33, 1.48, 0.37, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 0, 0.918, 0.98, 1, 1.85, 0.47, 0.00, 2.42, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 1.77, 2.24, 1.48, 0.18, 0.00, 0.00, 0.06, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 0, 0.959, 0.98, 1, 2.13, 0.61, 0.00, 2.05, 0.00, 0.00, 0.00, 0.00, 0.07, 0.00, 1.74, 2.36, 1.68, 0.25, 0.00, 0.06, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25, 0, 1.001, 0.98, 1, 1.89, 0.40, 0.00, 1.72, 0.00, 0.00, 0.00, 0.23, 0.04, 0.18, 1.71, 2.37, 1.32, 0.29, 0.00, 0.43, 0.00, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 0, 1.043, 0.98, 1, 1.84, 0.43, 0.00, 1.73, 0.00, 0.00, 0.00, 0.30, 0.02, 0.01, 1.65, 2.48, 1.83, 0.31, 0.00, 0.16, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27, 0, 1.084, 0.98, 1, 1.74, 0.36, 0.00, 1.62, 0.00, 0.00, 0.00, 0.15, 0.11, 0.03, 1.88, 2.40, 1.63, 0.46, 0.00, 0.00, 0.08, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28, 0, 1.126, 0.98, 1, 1.75, 0.38, 0.00, 1.50, 0.00, 0.00, 0.00, 0.29, 0.11, 0.03, 1.82, 2.34, 1.66, 0.33, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29, 0, 1.168, 0.98, 1, 1.77, 0.35, 0.00, 1.81, 0.00, 0.00, 0.00, 0.25, 0.03, 0.00, 1.74, 2.23, 2.04, 0.30, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30, 0, 1.210, 0.98, 1, 2.11, 0.38, 0.00, 1.89, 0.00, 0.00, 0.00, 0.33, 0.08, 0.00, 1.69, 2.23, 2.14, 0.20, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31, 0, 1.251, 0.98, 1, 1.82, 0.39, 0.00, 1.93, 0.00, 0.00, 0.00, 0.30, 0.06, 0.00, 1.70, 2.20, 1.87, 0.19, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32, 0, 1.293, 0.98, 1, 1.76, 0.41, 0.00, 2.04, 0.00, 0.00, 0.00, 0.20, 0.01, 0.00, 1.56, 2.15, 1.96, 0.22, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33, 0, 1.335, 0.98, 1, 1.77, 0.41, 0.00, 1.92, 0.00, 0.00, 0.00, 0.24, 0.01, 0.00, 1.64, 2.20, 1.94, 0.33, 0.00, 0.00, 0.00, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
