frame,FE01,FE02,FE03,FE04,FE05,FE06
38,0,0,0,0,1.5333333333333332,0
39,0,0,0,0,1.5066666666666666,0
40,0,0,0,0,1.5666666666666667,0
41,0,0,0,0,1.5333333333333332,0
42,0,0,0,0,1.3233333333333335,0
43,0,0,0,0,1.1566666666666667,0
46,0,0,0,0,1.05,0
47,0,0,0,0,1.1833333333333333,0
48,0,0,0,0,1.1933333333333336,0
49,0,0,0,0,1.2066666666666668,0
50,0,0,0,0,0.9933333333333333,0
51,0,0,0,0,0.84,0
52,0,0,0,0,0.8066666666666666,0
53,0,0,0,0,0.7933333333333333,0
54,0,0,0,0,0.7066666666666667,0
55,0,0,0,0,0.6466666666666666,0
60,0,0,0,0,0.9700000000000001,0
61,0,0,1.025,0,0,0
62,0,0,1.23,0,0,0
66,0,0,1.125,0,0,0
67,0,0,1.2875,0,0,0
68,0,0,0,0,1.5433333333333332,0
69,0,0,0,0,1.7633333333333334,0
70,0,0,0,0,1.5966666666666667,0
71,0,0,0,0,1.5133333333333334,0
72,0,0,0,0,1.4100000000000001,0
73,0,0,0,0,1.33,0
74,0,0,0,0,1.3033333333333335,0
75,0,0,0,0,1.366666666666667,0
76,0,0,0,0,1.4733333333333336,0
77,0,0,1.6575,0,0,0
78,0,0,0,0,1.5333333333333334,0
79,0,0,0,0,1.34,0
80,0,0,0,0,1.1966666666666665,0
81,0,0,0,0,0.8166666666666668,0
82,0,0,0,0,0.9933333333333333,0
83,0,0,0,0,1.0433333333333332,0
84,0,0,0,0,0.77,0
87,0,0,0,0,0,0.7133333333333334
93,0,0.635,0,0,0,0
100,0,0,0,0,0.5433333333333333,0
101,0,0,0,0,0,0.45999999999999996
102,0,0.39,0,0,0,0
103,0,0,0,0,0.45,0
104,0,0,0,0,0.56,0
105,0,0,0,0,0.7733333333333333,0
106,0,0,0,0,0.8966666666666666,0
107,0,0,0,0,0.9199999999999999,0
108,0,0,0,0,1.11,0
120,0,0,0,0,0.8766666666666666,0
121,0,0,0,0,1.05,0
122,0,0,0,0,1.1233333333333333,0
123,0,0,0,0,0.9166666666666666,0
124,0,0,0.9125,0,0,0
125,0,0,0.9450000000000001,0,0,0
129,0,0,1.395,0,0,0
130,0,0,0.9425000000000001,0,0,0
131,0,0,0.7825,0,0,0
133,0,0,0.8175,0,0,0
134,0,0,0.85,0,0,0
135,0,0,0,0,0.7766666666666667,0
136,0,0,0,0,0.7633333333333333,0
137,0,0,0,0,0.87,0
138,0,0,0,0,0.9233333333333333,0
139,0,0,0,0,0.9866666666666667,0
140,0,0,0,0,1.0766666666666669,0
141,0,0,0,0,0.8633333333333334,0
142,0,0,0,0,0.8833333333333333,0
143,0,0,0,0,0.6866666666666666,0
144,0,0,0.545,0,0,0
145,0,0,0.74,0,0,0
146,0,0.72,0,0,0,0
147,0,0.605,0,0,0,0
149,0,0,0,0,0.4266666666666667,0
150,0,0,0.6900000000000001,0,0,0
151,0,0,0.7075,0,0,0
152,0,0.6649999999999999,0,0,0,0
154,0,0,1.045,0,0,0
155,0,0,1.06,0,0,0
156,0,0,0.7749999999999999,0,0,0
160,0,0,0.8275,0,0,0
161,0,0,0.87,0,0,0
162,0,0,0.905,0,0,0
163,0,0,0.985,0,0,0
164,0,0,0.9475,0,0,0
165,0,0,0.91,0,0,0
166,0,0,0.695,0,0,0
167,0,0.775,0,0,0,0
168,0,0.9750000000000001,0,0,0,0
169,0,0.9700000000000001,0,0,0,0
170,0,0.9550000000000001,0,0,0,0
171,0,0.935,0,0,0,0
172,0,0.915,0,0,0,0
173,0,0,0.9400000000000001,0,0,0
175,0,0,0.9824999999999999,0,0,0
176,0,0,1.03,0,0,0
177,0,0,1.21,0,0,0
178,0,0,1.2725,0,0,0
179,0,0,1.5175,0,0,0
181,0,0,1.225,0,0,0
182,0,0,1.06,0,0,0
183,0,0,0.9049999999999999,0,0,0
184,0,0,1.0125,0,0,0
185,0,0,0.995,0,0,0
186,0,0,1.0025,0,0,0
187,0,0,1.01,0,0,0
188,0,0,1.145,0,0,0
189,0,0,1.06,0,0,0
190,0,0,1.25,0,0,0
193,0,0,1.1800000000000002,0,0,0
194,0,0,1.0775000000000001,0,0,0
195,0,0,0.63,0,0,0
196,0,0,0.84,0,0,0
198,0,0,0.7050000000000001,0,0,0
199,0,0,0.7749999999999999,0,0,0
200,0,0,0.8949999999999999,0,0,0
202,1.015,0,0,0,0,0
203,0,0,0,0,1.1099999999999999,0
204,0,0,0,0,1.0633333333333332,0
217,0,0.53,0,0,0,0
218,0,0.565,0,0,0,0
219,0,0,0,0,0,0.5666666666666667
220,0,0,0.685,0,0,0
221,0,0,0.8200000000000001,0,0,0
222,0,0,1.2799999999999998,0,0,0
223,0,0,1.265,0,0,0
224,0,0,1.0975,0,0,0
225,0,0,0.91,0,0,0
226,0,0,0.91,0,0,0
227,0,0,0.8675,0,0,0
228,0,0,0.6725,0,0,0
229,0,0,0.7325,0,0,0
231,0,0,0.46249999999999997,0,0,0
232,0,0,0.5625,0,0,0
234,0,0,0.8599999999999999,0,0,0
235,0,0,0.6275000000000001,0,0,0
236,0,0,0.7024999999999999,0,0,0
237,0,0,0.8725,0,0,0
238,0,0,0.9375,0,0,0
242,0,0,0.9850000000000001,0,0,0
243,0,0,1.0925,0,0,0
244,0,0,1.0050000000000001,0,0,0
245,0,0,0.92,0,0,0
246,0,0,0.8225,0,0,0
247,0,0,0.6950000000000001,0,0,0
248,0,0,0,0,0,0.49
249,0,0,0,0,0.43333333333333335,0
250,0,0,0.3725,0,0,0
251,0,0,0.3775,0,0,0
252,0,0,0,0,0,0.45999999999999996
254,0,0,0,0,1.2366666666666666,0
255,0,0,0,0,1.2233333333333334,0
256,0,0,0,0,1.1733333333333336,0
257,0,0,0,0,1.1066666666666667,0
258,0,0,0,0,0.71,0
259,0,0,0,0,0.6266666666666666,0
272,0,0,0.7150000000000001,0,0,0
278,1.17,0,0,0,0,0
279,1.19,0,0,0,0,0
280,1.715,0,0,0,0,0
281,1.975,0,0,0,0,0
282,2.145,0,0,0,0,0
283,2.04,0,0,0,0,0
284,1.79,0,0,0,0,0
285,1.5150000000000001,0,0,0,0,0
286,1.365,0,0,0,0,0
287,0,0.78,0,0,0,0
288,0,0.725,0,0,0,0
289,0,0.715,0,0,0,0
290,0,0,1.1675,0,0,0
291,0,0,1.145,0,0,0
292,0,0,1.2249999999999999,0,0,0
293,0,0,1.1524999999999999,0,0,0
294,0,0,1.1225,0,0,0
295,0,0,1.1825,0,0,0
296,0,0,1.0775000000000001,0,0,0
297,0,0,0.9075,0,0,0
298,0,0,1.0125,0,0,0
299,0,0,0,0,0.9266666666666667,0
300,0,0,0.9525,0,0,0
301,0,0,0.9125,0,0,0
302,0,0,1.0525,0,0,0
304,0,0,0,0,1.22,0
305,0,0,1.53,0,0,0
306,0,0,1.585,0,0,0
307,0,0,1.435,0,0,0
308,0,0,1.27,0,0,0
321,0,0,1.1724999999999999,0,0,0
322,0,0,1.2825,0,0,0
323,0,0,1.115,0,0,0
324,0,0,1.1075,0,0,0
325,0,0,1.0374999999999999,0,0,0
326,0,0,0.9925,0,0,0
327,0,0,0.9475,0,0,0
328,0,0,0.7024999999999999,0,0,0
329,0,0,0.725,0,0,0
330,0,0,0.7275,0,0,0
331,0,0,1.1375,0,0,0
332,0,0,1.3125,0,0,0
333,0,0,1.0975000000000001,0,0,0
334,0,0,1.225,0,0,0
335,0,0,1.155,0,0,0
336,0,0,0.905,0,0,0
337,0,0,0.7725,0,0,0
339,0,0,0.9425,0,0,0
340,0,0,0,0,1.2633333333333334,0
341,0,0,0,0,1.1933333333333334,0
342,0,0,0,0,0.93,0
347,0,0,1.305,0,0,0
348,0,0,0,0,0,0.9866666666666667
361,0.575,0,0,0,0,0
363,0,0,0,0,1.2,0
365,0,0,0,0,1.1633333333333333,0
369,0,0,0,0,1.24,0
370,0,0,0,0,1.0533333333333332,0
371,0,0,0,0,0.9700000000000001,0
372,0,0,0,0,0.9133333333333332,0
373,0,0,0,0,1.0733333333333335,0
374,0,0,0,0,1.3166666666666667,0
375,0,0,0,0,1.3466666666666667,0
376,0,0,0,0,1.3099999999999998,0
377,0,0,0,0,1.4733333333333334,0
378,0,0,0,0,1.5833333333333333,0
379,0,0,0,0,1.6600000000000001,0
380,0,0,0,0,1.5799999999999998,0
381,0,0,0,0,1.55,0
383,0,0,0,0,0.9133333333333334,0
384,0,0,0,0,0.9733333333333335,0
385,0,0,0,0,0.8866666666666667,0
386,0,0,0,0,1.0833333333333333,0
387,0,0,0,0,0.5866666666666667,0
388,0,0,0,0,0.8866666666666667,0
390,0,0,0,0,1.04,0
391,0,0,0,0,1.1333333333333335,0
392,0,0,0,0,1.39,0
393,0,0,0,0,1.5,0
394,0,0,0,0,1.4566666666666668,0
395,0,0,0,0,1.53,0
396,0,0,1.5474999999999999,0,0,0
397,0,0,1.425,0,0,0
398,0,0,0,0,1.54,0
399,0,0,0,0,1.5933333333333335,0
400,0,0,0,0,1.4566666666666668,0
402,0,0,1.355,0,0,0
404,0,0,0,0,1.4066666666666665,0
405,0,0,0,0,1.74,0
406,0,0,0,0,1.8399999999999999,0
407,0,0,0,0,1.8966666666666665,0
408,0,0,0,0,1.9833333333333334,0
409,0,0,0,0,1.7666666666666666,0
410,0,0,0,0,1.7666666666666664,0
411,0,0,0,0,1.6766666666666665,0
439,0,0,0,0,1.3499999999999999,0
440,0,0,1.2125,0,0,0
441,0,0,1.165,0,0,0
442,0,0,0,0,1.1133333333333333,0
443,0,0,1.19,0,0,0
444,0,0,1.35,0,0,0
449,0,0,0,0,1.0433333333333332,0
452,0,0,0,0,0.9466666666666667,0
454,0,0.785,0,0,0,0
455,0,0,0.7525,0,0,0
456,0,0,0.7725,0,0,0
457,0,0,0,0,0,0.7233333333333333
458,0,0,0,0,0.88,0
459,0,0,0,0,0.96,0
460,0,0,0,0,0.9666666666666667,0
461,0,0,0,0,1.0466666666666666,0
462,0,0,0,0,1.1566666666666665,0
463,0,0,1.19,0,0,0
465,0,0,1.2325,0,0,0
466,0,0,1.245,0,0,0
467,0,0,1.36,0,0,0
469,0,0,1.0725,0,0,0
470,0,0.675,0,0,0,0
471,0,0,0.6924999999999999,0,0,0
472,0,0,0,0,0.64,0
473,0,0,0.7725,0,0,0
474,0,0,1.1375,0,0,0
475,0,0,1.1400000000000001,0,0,0
476,0,0,0,0,0.6133333333333333,0
477,0,0,0.7825000000000001,0,0,0
478,0,0,0,0,0,0.6266666666666666
479,0,0,0.9349999999999999,0,0,0
480,0,0,0,0,1.5199999999999998,0
481,0,0,1.45,0,0,0
489,0,0,0,0,1.2166666666666666,0
490,0,0,0,0,0.94,0
491,0,0,0,0,0.8300000000000001,0
499,0,0,0,0,0.89,0
500,0,0,0,0,0.71,0
501,0,0,0,0,0.6066666666666666,0
503,0,0,0,0,0.6,0
505,0,0,0,0,0.79,0
513,0,0,0.8,0,0,0
514,0,0,0.915,0,0,0
515,0,0,1.055,0,0,0
516,0,0,1.2475,0,0,0
523,0,0,0.9950000000000001,0,0,0
524,0,0,1.0875,0,0,0
525,0,0,1.1,0,0,0
526,0,0,1.21,0,0,0
