frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 0.38, 0.48, 0.00, 0.11, 0.00, 1.59, 0.02, 0.00, 0.90, 0.45, 0.13, 0.00, 1.86, 0.03, 0.18, 0.05, 0.67, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0.033, 0.98, 1, 0.90, 1.16, 0.00, 1.00, 0.00, 0.40, 0.08, 0.00, 0.88, 0.82, 0.25, 0.00, 2.33, 0.02, 0.44, 0.30, 2.29, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
3, 0, 0.067, 0.98, 1, 0.80, 1.17, 0.00, 0.99, 0.00, 0.00, 0.04, 0.00, 1.01, 0.79, 0.21, 0.00, 2.35, 0.01, 0.49, 0.13, 2.70, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
4, 0, 0.100, 0.98, 1, 0.93, 1.33, 0.00, 1.21, 0.00, 0.12, 0.00, 0.00, 0.96, 0.68, 0.11, 0.00, 2.23, 0.03, 0.40, 0.31, 2.68, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
5, 0, 0.133, 0.98, 1, 0.93, 1.35, 0.00, 1.24, 0.00, 0.12, 0.00, 0.00, 0.93, 0.49, 0.16, 0.00, 2.19, 0.00, 0.39, 0.30, 2.41, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
6, 0, 0.167, 0.98, 1, 0.91, 1.35, 0.00, 1.05, 0.00, 0.14, 0.00, 0.00, 0.98, 0.57, 0.17, 0.00, 2.24, 0.03, 0.42, 0.37, 2.57, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
7, 0, 0.200, 0.98, 1, 0.87, 1.27, 0.00, 0.72, 0.00, 0.76, 0.04, 0.00, 0.90, 0.62, 0.06, 0.00, 2.29, 0.00, 0.51, 0.38, 2.50, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
8, 0, 0.234, 0.98, 1, 0.83, 1.19, 0.00, 0.71, 0.00, 0.88, 0.04, 0.00, 0.71, 0.58, 0.14, 0.00, 1.85, 0.00, 0.28, 0.32, 1.82, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
9, 0, 0.267, 0.98, 1, 0.76, 1.04, 0.00, 0.83, 0.00, 1.26, 0.03, 0.00, 0.60, 0.35, 0.29, 0.00, 1.75, 0.00, 0.19, 0.36, 1.26, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
10, 0, 0.300, 0.98, 1, 0.59, 0.93, 0.00, 0.67, 0.00, 0.55, 0.00, 0.00, 0.31, 0.11, 0.43, 0.00, 1.58, 0.00, 0.10, 0.56, 0.99, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
11, 0, 0.334, 0.98, 1, 0.77, 1.02, 0.00, 0.83, 0.00, 0.58, 0.11, 0.00, 0.01, 0.00, 0.52, 0.00, 1.54, 0.00, 0.00, 0.50, 0.78, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
12, 0, 0.367, 0.98, 1, 1.03, 1.04, 0.00, 0.52, 0.00, 0.40, 0.01, 0.00, 0.00, 0.00, 0.58, 0.00, 1.48, 0.00, 0.01, 0.53, 0.72, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
13, 0, 0.400, 0.98, 1, 0.66, 0.94, 0.00, 0.71, 0.00, 0.54, 0.00, 0.00, 0.00, 0.00, 0.76, 0.00, 1.14, 0.00, 0.00, 0.55, 0.57, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
14, 0, 0.434, 0.98, 1, 0.81, 0.97, 0.00, 0.71, 0.00, 0.37, 0.00, 0.00, 0.00, 0.00, 0.87, 0.00, 1.29, 0.00, 0.00, 0.63, 0.56, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
15, 0, 0.467, 0.98, 1, 0.74, 0.87, 0.00, 0.49, 0.00, 0.62, 0.00, 0.00, 0.00, 0.00, 0.88, 0.00, 1.26, 0.00, 0.00, 0.57, 0.54, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
16, 0, 0.501, 0.98, 1, 0.77, 0.90, 0.00, 0.46, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 0.91, 0.00, 1.07, 0.00, 0.00, 0.63, 0.55, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
17, 0, 0.534, 0.98, 1, 0.83, 0.89, 0.00, 0.36, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.90, 0.00, 0.98, 0.00, 0.00, 0.50, 0.49, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
