frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.98, 1,0.035,0.675,1.015,0.04,0.69,0.62,0
2, 0, 0.042, 0.98, 1,0.0,0.715,1.045,0.12,0.7599999999999999,0.7433333333333333,0
3, 0, 0.083, 0.98, 1,0.0,0.685,1.045,0.09666666666666666,0.71,0.7433333333333333,0
4, 0, 0.125, 0.98, 1,0.0,0.665,1.0175,0.03333333333333333,0.75,0.63,0
5, 0, 0.167, 0.98, 1,0.0,0.77,1.0699999999999998,0.07333333333333333,0.8366666666666666,0.61,0
6, 0, 0.209, 0.98, 1,0.005,0.765,1.0675,0.03333333333333333,0.77,0.66,0
7, 0, 0.250, 0.98, 1,0.0,0.76,1.0775000000000001,0.0,0.75,0.6933333333333334,0
8, 0, 0.292, 0.98, 1,0.06,0.815,1.0525,0.0,0.7433333333333333,0.6266666666666667,0
9, 0, 0.334, 0.98, 1,0.045,0.835,1.02,0.0,0.7333333333333334,0.6533333333333333,0
10, 0, 0.375, 0.98, 1,0.0,0.81,1.0575,0.0,0.7566666666666667,0.71,0
11, 0, 0.417, 0.98, 1,0.0,0.76,0.9524999999999999,0.05333333333333334,0.6766666666666666,0.7866666666666666,0
12, 0, 0.459, 0.98, 1,0.0,0.87,1.02,0.04,0.69,0.7833333333333333,0
13, 0, 0.501, 0.98, 1,0.03,0.84,0.9875,0.06,0.6966666666666667,0.7799999999999999,0
14, 0, 0.542, 0.98, 1,0.04,0.88,1.0775,0.0033333333333333335,0.7599999999999999,0.7799999999999999,0
15, 0, 0.584, 0.98, 1,0.015,0.855,0.975,0.01,0.6966666666666667,0.7466666666666667,0
16, 0, 0.626, 0.98, 1,0.01,0.795,0.9524999999999999,0.07666666666666667,0.7233333333333333,0.8733333333333334,0
17, 0, 0.667, 0.98, 1,0.0,0.845,0.9924999999999999,0.06666666666666667,0.73,0.7999999999999999,0
18, 0, 0.709, 0.98, 1,0.005,0.865,1.03,0.05666666666666667,0.7233333333333333,0.84,0
19, 0, 0.751, 0.98, 1,0.05,0.835,1.015,0.09333333333333334,0.7033333333333333,0.81,0
20, 0, 0.792, 0.98, 1,0.01,0.86,0.94,0.08,0.6766666666666666,0.86,0
21, 0, 0.834, 0.98, 1,0.04,0.815,0.885,0.10333333333333333,0.6633333333333333,0.8466666666666667,0
22, 0, 0.876, 0.98, 1,0.02,0.785,0.855,0.12333333333333334,0.6466666666666666,0.7766666666666667,0
23, 0, 0.918, 0.98, 1,0.025,0.885,0.8325,0.06,0.6166666666666667,0.7466666666666667,0
24, 0, 0.959, 0.98, 1,0.035,0.87,0.9524999999999999,0.08333333333333333,0.73,0.7866666666666666,0
25, 0, 1.001, 0.98, 1,0.02,0.855,0.8025,0.09666666666666666,0.7733333333333333,0.8666666666666667,0
26, 0, 1.043, 0.98, 1,0.01,0.825,0.9175,0.10333333333333333,0.6666666666666666,0.9266666666666666,0
27, 0, 1.084, 0.98, 1,0.055,0.94,0.8425,0.15333333333333335,0.58,0.85,0
28, 0, 1.126, 0.98, 1,0.055,0.91,0.8525,0.11,0.5833333333333334,0.8766666666666666,0
29, 0, 1.168, 0.98, 1,0.015,0.87,0.9525,0.09999999999999999,0.59,0.8266666666666667,0
30, 0, 1.210, 0.98, 1,0.04,0.845,1.0625,0.06666666666666667,0.7033333333333333,0.8533333333333334,0
31, 0, 1.251, 0.98, 1,0.03,0.85,0.9225000000000001,0.06333333333333334,0.6066666666666667,0.8333333333333334,0
32, 0, 1.293, 0.98, 1,0.005,0.78,0.9299999999999999,0.07333333333333333,0.5866666666666667,0.7833333333333333,0
33, 0, 1.335, 0.98, 1,0.005,0.82,0.9275,0.11,0.59,0.8133333333333335,0
34, 0, 1.376, 0.98, 1,0.0,0.79,1.0075,0.07666666666666667,0.68,0.7666666666666666,0
35, 0, 1.418, 0.98, 1,0.0,0.835,0.9475,0.09333333333333334,0.64,0.8166666666666665,0
36, 0, 1.460, 0.98, 1,0.0,0.79,0.9225,0.08,0.5633333333333334,0.82,0
37, 0, 1.502, 0.98, 1,0.0,0.835,0.9075,0.13,0.64,0.89,0
38, 0, 1.543, 0.98, 1,0.0,0.795,1.02,0.12333333333333334,0.7533333333333333,0.8566666666666668,0
39, 0, 1.585, 0.98, 1,0.0,0.79,0.995,0.12333333333333334,0.7000000000000001,0.8099999999999999,0
40, 0, 1.627, 0.98, 1,0.0,0.83,1.05,0.09666666666666666,0.7566666666666667,0.8233333333333333,0
41, 0, 1.668, 0.98, 1,0.0,0.865,1.055,0.09000000000000001,0.77,0.7266666666666667,0
49, 0, 2.002, 0.98, 1,0.295,0.44500000000000006,1.0625,0.47333333333333333,0.6133333333333333,0.043333333333333335,0
50, 0, 2.044, 0.98, 1,0.33,0.535,1.1275,0.6366666666666667,0.66,0.09000000000000001,0
51, 0, 2.085, 0.98, 1,0.35,0.5800000000000001,1.215,0.61,0.7166666666666667,0.11333333333333333,0
52, 0, 2.127, 0.98, 1,0.385,0.41000000000000003,1.2149999999999999,0.5933333333333334,0.73,0.11,0
53, 0, 2.169, 0.98, 1,0.445,0.405,1.21,0.6,0.7933333333333333,0.12666666666666668,0
54, 0, 2.211, 0.98, 1,0.4,0.505,1.1875,0.64,0.7133333333333334,0.13333333333333333,0
55, 0, 2.252, 0.98, 1,0.485,0.515,1.1975,0.6566666666666666,0.7566666666666667,0.20333333333333334,0
56, 0, 2.294, 0.98, 1,0.535,0.54,1.2774999999999999,0.7733333333333333,0.84,0.04666666666666667,0
57, 0, 2.336, 0.98, 1,0.59,0.375,1.2574999999999998,0.8433333333333334,0.8633333333333333,0.13999999999999999,0
58, 0, 2.377, 0.98, 1,0.595,0.395,1.1775,0.8033333333333333,0.82,0.15,0
59, 0, 2.419, 0.98, 1,0.695,0.47,1.2875,0.81,0.8933333333333332,0.11,0
60, 0, 2.461, 0.98, 1,0.86,0.43,1.255,0.8866666666666667,0.9,0.16333333333333333,0
61, 0, 2.503, 0.98, 1,1.07,0.5,1.4125,0.8233333333333333,1.0133333333333334,0.30333333333333334,0
62, 0, 2.544, 0.98, 1,1.01,0.525,1.34,0.8433333333333334,0.9400000000000001,0.31666666666666665,0
63, 0, 2.586, 0.98, 1,1.135,0.41500000000000004,1.3525,0.7733333333333334,0.9733333333333333,0.3333333333333333,0
64, 0, 2.628, 0.98, 1,1.205,0.475,1.46,0.9466666666666667,1.0266666666666666,0.3466666666666667,0
65, 0, 2.669, 0.98, 1,1.28,0.495,1.5175,1.0533333333333335,1.0266666666666666,0.3566666666666667,0
66, 0, 2.711, 0.98, 1,1.3900000000000001,0.485,1.5374999999999999,1.0899999999999999,1.0233333333333334,0.41,0
67, 0, 2.753, 0.98, 1,1.4849999999999999,0.385,1.385,0.91,0.9166666666666666,0.41333333333333333,0
68, 0, 2.794, 0.98, 1,1.46,0.525,1.4125,0.9366666666666666,0.9133333333333334,0.37333333333333335,0
69, 0, 2.836, 0.98, 1,1.505,0.57,1.4525,1.0066666666666666,0.9933333333333333,0.42,0
70, 0, 2.878, 0.93, 1,1.505,0.5650000000000001,1.4075,0.9466666666666667,0.93,0.38666666666666666,0
