frame,FE01,FE02,FE03,FE04,FE05,FE06
1,0,1.107,0,0,0,0
2,0,1.2679999999999998,0,0,0,0
3,0,1.1629999999999998,0,0,0,0
4,0,1.123,0,0,0,0
5,0,1.1960000000000002,0,0,0,0
6,0,1.125,0,0,0,0
7,0,1.1510000000000002,0,0,0,0
8,0,1.161,0,0,0,0
9,0,1.177,0,0,0,0
10,0,1.255,0,0,0,0
11,0,1.266,0,0,0,0
12,0,1.281,0,0,0,0
13,0,1.2879999999999998,0,0,0,0
14,0,1.334,0,0,0,0
15,0,1.2610000000000001,0,0,0,0
16,0,1.323,0,0,0,0
17,0,1.299,0,0,0,0
18,0,1.3490000000000002,0,0,0,0
19,0,1.318,0,0,0,0
20,0,1.319,0,0,0,0
21,0,1.275,0,0,0,0
22,0,1.244,0,0,0,0
23,0,1.219,0,0,0,0
24,0,1.3079999999999998,0,0,0,0
25,0,1.26,0,0,0,0
26,0,1.2770000000000001,0,0,0,0
27,0,1.256,0,0,0,0
28,0,1.234,0,0,0,0
29,0,1.197,0,0,0,0
30,0,1.2599999999999998,0,0,0,0
31,0,1.194,0,0,0,0
32,0,1.153,0,0,0,0
33,0,1.178,0,0,0,0
34,0,1.1600000000000001,0,0,0,0
35,0,1.196,0,0,0,0
36,0,1.123,0,0,0,0
37,0,1.238,0,0,0,0
38,0,1.298,0,0,0,0
39,0,1.2349999999999999,0,0,0,0
40,0,1.3039999999999998,0,0,0,0
41,0,1.2530000000000001,0,0,0,0
49,0,0,0.789,0,0,0
50,0,0,0.8350000000000001,0,0,0
51,0,0,0.812,0,0,0
52,0,0,0.9670000000000001,0,0,0
53,0,0,0.911,0,0,0
54,0,0,0.8150000000000001,0,0,0
55,0,0,0.8160000000000001,0,0,0
56,0,0,0.915,0,0,0
57,0,0,0.885,0,0,0
58,0,0,0.7930000000000001,0,0,0
59,0,0,0,0.789,0,0
60,0,0,0.8500000000000001,0,0,0
61,0.92,0,0,0,0,0
62,0.8879999999999999,0,0,0,0,0
63,1.0070000000000001,0,0,0,0,0
64,1.119,0,0,0,0,0
65,1.172,0,0,0,0,0
66,1.282,0,0,0,0,0
67,1.417,0,0,0,0,0
68,1.4060000000000001,0,0,0,0,0
69,1.419,0,0,0,0,0
70,1.399,0,0,0,0,0
71,1.4300000000000002,0,0,0,0,0
72,1.3850000000000002,0,0,0,0,0
73,1.411,0,0,0,0,0
74,1.4489999999999998,0,0,0,0,0
75,1.5189999999999997,0,0,0,0,0
76,1.5619999999999998,0,0,0,0,0
77,1.717,0,0,0,0,0
78,1.7079999999999997,0,0,0,0,0
79,1.726,0,0,0,0,0
80,1.702,0,0,0,0,0
81,1.6679999999999997,0,0,0,0,0
82,1.702,0,0,0,0,0
83,1.849,0,0,0,0,0
84,1.873,0,0,0,0,0
85,1.895,0,0,0,0,0
86,1.909,0,0,0,0,0
87,1.8379999999999999,0,0,0,0,0
88,1.835,0,0,0,0,0
89,1.858,0,0,0,0,0
90,1.864,0,0,0,0,0
91,1.8339999999999999,0,0,0,0,0
92,1.874,0,0,0,0,0
93,1.884,0,0,0,0,0
94,1.91,0,0,0,0,0
95,1.8079999999999998,0,0,0,0,0
96,1.769,0,0,0,0,0
97,1.816,0,0,0,0,0
98,1.746,0,0,0,0,0
99,1.704,0,0,0,0,0
100,1.6989999999999998,0,0,0,0,0
101,1.56,0,0,0,0,0
102,1.5830000000000002,0,0,0,0,0
103,1.475,0,0,0,0,0
104,1.4289999999999998,0,0,0,0,0
105,1.4049999999999998,0,0,0,0,0
106,1.295,0,0,0,0,0
107,1.2610000000000001,0,0,0,0,0
108,1.183,0,0,0,0,0
109,1.315,0,0,0,0,0
110,1.259,0,0,0,0,0
111,1.332,0,0,0,0,0
122,0,0,0,0,0,1.0866666666666667
201,0,0.326,0,0,0,0
202,0,0.42300000000000004,0,0,0,0
203,0,0,0,0.436,0,0
204,0.305,0,0,0,0,0
205,0,0,0.216,0,0,0
206,0,0.29800000000000004,0,0,0,0
207,0,0.609,0,0,0,0
208,0,0.573,0,0,0,0
209,0,0.41100000000000003,0,0,0,0
210,0,0.544,0,0,0,0
225,0,0.875,0,0,0,0
226,0,0,0,0,0,1.0533333333333335
227,0,0,0.87,0,0,0
228,0,0,1.2349999999999999,0,0,0
229,0,0,1.478,0,0,0
230,0,0,1.7650000000000001,0,0,0
231,0,0,1.8070000000000002,0,0,0
232,0,0,1.7389999999999999,0,0,0
233,0,0,1.6960000000000002,0,0,0
234,0,0,1.7480000000000002,0,0,0
235,0,0,1.5920000000000003,0,0,0
236,0,0,1.7180000000000002,0,0,0
237,0,0,1.5780000000000003,0,0,0
238,0,0,1.5410000000000001,0,0,0
239,0,0,1.431,0,0,0
240,0,0,1.5450000000000002,0,0,0
