 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
868.800000000001,243.72999999999993,157.57999999999998,1151.579999999999,173.75000000000009,72.81000000000003,36.539999999999985,727.1599999999994,158.39999999999992,292.8499999999999,681.0100000000002,288.2200000000001,874.6599999999997,30.63000000000001,780.9299999999996,327.4099999999999,17.509999999999994
677,384,412,684,338,134,128,611,344,400,669,474,626,83,564,453,38
