frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.93, 1,1.085,1.415,1.39,1.7633333333333334,1.0033333333333332,0.17666666666666667,0
2, 0, 0.033, 0.98, 1,1.27,1.425,1.5075,1.5866666666666667,1.0866666666666667,0.45,0
3, 0, 0.067, 0.98, 1,0.95,1.4,1.335,1.5899999999999999,0.7933333333333333,0.35000000000000003,0
4, 0, 0.100, 0.98, 1,0.71,1.52,1.3424999999999998,1.54,0.7333333333333334,0.34,0
5, 0, 0.133, 0.98, 1,0.605,1.35,1.2425000000000002,1.39,0.6033333333333334,0.44333333333333336,0
6, 0, 0.167, 0.98, 1,0.285,1.5099999999999998,1.2475,1.3233333333333333,0.48333333333333334,0.6133333333333334,0
7, 0, 0.200, 0.98, 1,0.11,1.5150000000000001,1.1775,1.4033333333333333,0.3466666666666667,0.6733333333333333,0
8, 0, 0.234, 0.98, 1,0.0,1.53,1.0425,1.46,0.24666666666666667,0.8566666666666668,0
9, 0, 0.267, 0.98, 1,0.0,1.57,1.0574999999999999,1.3499999999999999,0.24,0.8466666666666667,0
10, 0, 0.300, 0.98, 1,0.0,1.465,1.04,1.3333333333333333,0.26666666666666666,0.8333333333333334,0
11, 0, 0.334, 0.98, 1,0.0,1.345,0.89,1.3966666666666665,0.21,0.7533333333333333,0
12, 0, 0.367, 0.98, 1,0.0,1.465,0.905,1.6000000000000003,0.19999999999999998,0.7466666666666667,0
13, 0, 0.400, 0.98, 1,0.0,1.3900000000000001,0.9125,1.53,0.22666666666666668,0.77,0
14, 0, 0.434, 0.98, 1,0.0,1.4,0.9125,1.5400000000000003,0.21666666666666667,0.7266666666666666,0
15, 0, 0.467, 0.98, 1,0.0,1.28,0.835,1.5033333333333332,0.19999999999999998,0.7033333333333335,0
16, 0, 0.501, 0.98, 1,0.0,1.24,0.845,1.5333333333333332,0.19999999999999998,0.61,0
17, 0, 0.534, 0.98, 1,0.0,1.225,0.8075,1.4800000000000002,0.15,0.6866666666666666,0
18, 0, 0.567, 0.98, 1,0.0,1.28,0.7875000000000001,1.5733333333333333,0.15666666666666665,0.6866666666666666,0
