frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.88, 1, 0.67, 0.00, 1.04, 0.00, 0.40, 2.23, 0.39, 0.00, 0.00, 0.00, 0.34, 2.31, 0.06, 0.36, 0.00, 0.45, 0.00, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
2, 0, 0.040, 0.88, 1, 0.45, 0.00, 1.34, 0.00, 0.36, 2.14, 0.44, 0.00, 0.00, 0.00, 0.30, 2.49, 0.00, 0.29, 0.00, 0.26, 0.00, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0.080, 0.88, 1, 0.39, 0.00, 1.28, 0.00, 0.44, 2.48, 0.63, 0.00, 0.00, 0.00, 0.37, 2.56, 0.00, 0.27, 0.00, 0.27, 0.00, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0.120, 0.88, 1, 0.28, 0.00, 1.19, 0.00, 0.56, 2.55, 0.40, 0.00, 0.00, 0.00, 0.20, 2.42, 0.00, 0.32, 0.00, 0.17, 0.00, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0, 0.160, 0.88, 1, 0.45, 0.00, 1.18, 0.00, 0.60, 2.96, 0.46, 0.00, 0.00, 0.00, 0.32, 2.45, 0.00, 0.03, 0.00, 0.13, 0.00, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0
6, 0, 0.200, 0.88, 1, 0.62, 0.00, 0.94, 0.00, 0.62, 2.67, 0.18, 0.00, 0.00, 0.00, 0.12, 2.17, 0.00, 0.08, 0.00, 0.02, 0.00, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0
7, 0, 0.240, 0.88, 1, 0.33, 0.00, 1.07, 0.00, 0.57, 2.81, 0.29, 0.00, 0.00, 0.00, 0.00, 2.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0
8, 0, 0.280, 0.88, 1, 0.23, 0.00, 0.93, 0.00, 0.39, 2.93, 0.26, 0.00, 0.00, 0.00, 0.23, 2.07, 0.01, 0.18, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
9, 0, 0.320, 0.88, 1, 0.22, 0.00, 1.03, 0.00, 0.13, 2.84, 0.33, 0.00, 0.00, 0.00, 0.26, 2.17, 0.07, 0.18, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
10, 0, 0.360, 0.88, 1, 0.24, 0.00, 0.78, 0.00, 0.00, 3.12, 0.23, 0.00, 0.00, 0.00, 0.41, 2.01, 0.22, 0.15, 0.00, 0.00, 0.00, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
