frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 0.98, 0.47, 0.79, 1.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.61, 0.39, 1.43, 0.05, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
2, 0, 0.033, 0.98, 1, 1.36, 0.37, 0.77, 1.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.63, 0.42, 1.34, 0.32, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
3, 0, 0.067, 0.98, 1, 1.27, 0.30, 0.90, 1.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.68, 0.36, 1.49, 0.37, 0.00, 0.00, 0.20, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
4, 0, 0.100, 0.98, 1, 1.63, 0.75, 1.51, 0.92, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.67, 0.25, 1.72, 0.12, 0.17, 0.00, 1.33, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
5, 0, 0.133, 0.98, 1, 1.80, 1.07, 1.54, 0.58, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.65, 0.08, 1.69, 0.00, 0.30, 0.00, 2.47, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
6, 0, 0.167, 0.98, 1, 1.97, 1.26, 1.47, 0.69, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.58, 0.12, 1.80, 0.00, 0.34, 0.00, 2.38, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
7, 0, 0.200, 0.98, 1, 1.82, 1.02, 1.73, 0.70, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 0.62, 0.13, 1.52, 0.09, 0.32, 0.18, 1.90, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
8, 0, 0.234, 0.98, 1, 1.65, 0.96, 1.72, 0.87, 0.00, 0.36, 0.00, 0.00, 0.00, 0.00, 0.65, 0.16, 1.17, 0.11, 0.21, 0.14, 1.18, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
9, 0, 0.267, 0.98, 1, 1.29, 0.67, 1.65, 1.01, 0.00, 0.23, 0.00, 0.00, 0.00, 0.00, 0.55, 0.17, 1.17, 0.26, 0.10, 0.35, 1.01, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
10, 0, 0.300, 0.98, 1, 1.44, 0.64, 1.25, 1.09, 0.00, 0.54, 0.00, 0.00, 0.00, 0.00, 0.84, 0.06, 1.19, 0.13, 0.12, 0.00, 0.74, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
11, 0, 0.334, 0.98, 1, 1.37, 0.74, 1.17, 1.08, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.71, 0.00, 1.26, 0.03, 0.17, 0.00, 0.70, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
12, 0, 0.367, 0.98, 1, 1.55, 0.74, 1.23, 1.03, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.75, 0.00, 1.47, 0.00, 0.14, 0.00, 0.65, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
13, 0, 0.400, 0.98, 1, 1.60, 0.86, 1.17, 0.93, 0.00, 0.56, 0.00, 0.00, 0.00, 0.00, 0.64, 0.00, 1.23, 0.00, 0.10, 0.22, 0.50, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
14, 0, 0.434, 0.98, 1, 1.45, 0.72, 1.08, 1.03, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.53, 0.00, 1.50, 0.15, 0.02, 0.00, 0.55, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
15, 0, 0.467, 0.98, 1, 1.40, 0.70, 1.06, 0.94, 0.00, 1.12, 0.00, 0.00, 0.00, 0.00, 0.51, 0.00, 1.50, 0.11, 0.00, 0.00, 0.40, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
16, 0, 0.501, 0.98, 1, 1.39, 0.61, 1.03, 0.63, 0.00, 0.85, 0.00, 0.00, 0.00, 0.00, 0.55, 0.00, 1.42, 0.10, 0.06, 0.00, 0.38, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
17, 0, 0.534, 0.98, 1, 1.36, 0.63, 0.88, 0.43, 0.00, 0.59, 0.00, 0.00, 0.00, 0.00, 0.63, 0.00, 1.44, 0.10, 0.00, 0.00, 0.49, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
18, 0, 0.567, 0.98, 1, 1.31, 0.64, 0.88, 0.31, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 1.49, 0.30, 0.00, 0.00, 0.46, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
19, 0, 0.601, 0.98, 1, 1.37, 0.60, 0.88, 0.13, 0.00, 0.58, 0.00, 0.00, 0.00, 0.06, 0.90, 0.81, 1.75, 0.38, 0.00, 0.00, 0.48, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
20, 0, 0.634, 0.98, 1, 1.23, 0.56, 0.81, 0.47, 0.00, 0.68, 0.00, 0.00, 0.00, 0.00, 0.79, 1.27, 1.23, 0.43, 0.00, 0.00, 0.43, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
21, 0, 0.667, 0.98, 1, 1.13, 0.52, 0.73, 0.70, 0.00, 0.87, 0.00, 0.00, 0.00, 0.02, 0.81, 1.32, 1.26, 0.40, 0.00, 0.00, 0.41, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
22, 0, 0.701, 0.98, 1, 0.95, 0.40, 0.69, 0.64, 0.00, 0.73, 0.00, 0.00, 0.00, 0.00, 0.68, 1.13, 1.29, 0.39, 0.00, 0.00, 0.42, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
23, 0, 0.734, 0.98, 1, 1.03, 0.37, 0.55, 0.74, 0.00, 0.92, 0.00, 0.00, 0.00, 0.05, 0.63, 1.18, 1.40, 0.46, 0.00, 0.00, 0.21, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
24, 0, 0.767, 0.98, 1, 1.15, 0.31, 0.55, 0.48, 0.00, 0.55, 0.00, 0.00, 0.00, 0.00, 0.68, 1.35, 1.10, 0.64, 0.00, 0.00, 0.20, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
25, 0, 0.801, 0.98, 1, 1.03, 0.41, 0.62, 0.63, 0.00, 0.63, 0.00, 0.00, 0.00, 0.00, 0.61, 1.47, 1.29, 0.50, 0.00, 0.00, 0.13, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
26, 0, 0.834, 0.98, 1, 1.11, 0.28, 0.83, 0.43, 0.00, 0.73, 0.00, 0.00, 0.00, 0.26, 0.52, 1.36, 1.38, 0.54, 0.00, 0.00, 0.06, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
27, 0, 0.868, 0.98, 1, 1.01, 0.32, 0.59, 0.43, 0.00, 0.10, 0.00, 0.00, 0.00, 0.14, 0.58, 1.24, 1.31, 0.49, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
28, 0, 0.901, 0.98, 1, 1.04, 0.28, 0.55, 0.48, 0.00, 0.41, 0.00, 0.00, 0.00, 0.19, 0.56, 1.15, 1.29, 0.51, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
29, 0, 0.934, 0.98, 1, 0.99, 0.22, 0.60, 0.36, 0.00, 0.29, 0.00, 0.00, 0.00, 0.12, 0.58, 0.76, 1.37, 0.28, 0.00, 0.00, 0.01, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
30, 0, 0.968, 0.98, 1, 0.89, 0.19, 0.65, 0.35, 0.00, 0.26, 0.00, 0.00, 0.00, 0.14, 0.48, 0.42, 1.38, 0.36, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
31, 0, 1.001, 0.98, 1, 1.27, 0.40, 0.48, 0.55, 0.00, 0.26, 0.00, 0.00, 0.00, 0.21, 0.33, 0.16, 1.67, 0.45, 0.00, 0.00, 0.01, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
32, 0, 1.034, 0.98, 1, 1.71, 0.76, 0.34, 0.55, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 0.22, 0.00, 1.46, 0.29, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
33, 0, 1.068, 0.98, 1, 1.33, 0.68, 0.08, 1.10, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 0.28, 0.00, 1.47, 0.23, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
