frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.98, 1,0.0,0.5900000000000001,1.0125,0.02666666666666667,0.73,0.20333333333333334,0
2, 0, 0.042, 0.98, 1,0.0,0.45,0.9874999999999999,0.016666666666666666,0.7533333333333333,0.27999999999999997,0
3, 0, 0.083, 0.98, 1,0.0,0.79,1.2,0.12666666666666668,0.85,0.47666666666666674,0
4, 0, 0.125, 0.98, 1,0.0,0.765,1.1749999999999998,0.07666666666666667,0.8633333333333333,0.47666666666666674,0
5, 0, 0.167, 0.98, 1,0.0,0.6900000000000001,1.09,0.02666666666666667,0.8533333333333334,0.4366666666666667,0
6, 0, 0.209, 0.98, 1,0.0,0.725,1.205,0.0,0.9700000000000001,0.4766666666666666,0
7, 0, 0.250, 0.98, 1,0.01,0.785,1.205,0.0,0.86,0.5466666666666666,0
11, 0, 0.417, 0.98, 1,0.81,0.665,1.0475,0.16,0.6133333333333334,0.35333333333333333,0
13, 0, 0.501, 0.98, 1,1.5,0.27,1.36,0.44,0.9233333333333333,0.43333333333333335,0
14, 0, 0.542, 0.98, 1,1.955,0.25,1.5325,0.41333333333333333,0.9333333333333332,0.5433333333333333,0
15, 0, 0.584, 0.98, 1,2.075,0.135,1.425,0.35333333333333333,1.3066666666666666,0.43,0
16, 0, 0.626, 0.98, 1,2.2249999999999996,0.04,1.2275,0.6433333333333334,1.3499999999999999,0.3833333333333333,0
17, 0, 0.667, 0.98, 1,2.855,0.09,1.8375,0.6133333333333333,1.6166666666666665,0.5733333333333334,0
18, 0, 0.709, 0.98, 1,3.09,0.0,1.5899999999999999,0.37333333333333335,1.4666666666666668,0.6866666666666666,0
19, 0, 0.751, 0.98, 1,3.1950000000000003,0.07,1.4825,0.32666666666666666,1.3866666666666667,0.7266666666666667,0
20, 0, 0.792, 0.98, 1,3.175,0.13,1.49,0.36000000000000004,1.3566666666666667,0.6866666666666666,0
21, 0, 0.834, 0.98, 1,3.205,0.09,1.4175,0.3233333333333333,1.3499999999999999,0.63,0
22, 0, 0.876, 0.98, 1,3.205,0.095,1.3825,0.3866666666666667,1.33,0.66,0
23, 0, 0.918, 0.98, 1,3.395,0.28500000000000003,1.4849999999999999,0.3833333333333333,1.3499999999999999,0.7666666666666666,0
24, 0, 0.959, 0.93, 1,3.38,0.275,1.4325,0.4466666666666666,1.34,0.8566666666666666,0
25, 0, 1.001, 0.93, 1,3.245,0.345,1.5474999999999999,0.54,1.3633333333333333,0.8733333333333334,0
26, 0, 1.043, 0.93, 1,3.305,0.32,1.5925,0.61,1.4366666666666668,0.9666666666666667,0
33, 0, 1.335, 0.98, 1,0.48,0.58,1.1124999999999998,0.11666666666666665,0.8366666666666666,0.8399999999999999,0
34, 0, 1.376, 0.98, 1,0.525,0.645,1.0725,0.19333333333333336,0.7933333333333333,0.9499999999999998,0
35, 0, 1.418, 0.98, 1,0.565,0.715,1.0375,0.2066666666666667,0.8466666666666667,0.8966666666666668,0
36, 0, 1.460, 0.98, 1,0.765,0.77,1.1124999999999998,0.22666666666666668,0.9466666666666667,0.9433333333333334,0
37, 0, 1.502, 0.98, 1,0.86,0.865,1.2025,0.26666666666666666,1.12,0.9866666666666667,0
38, 0, 1.543, 0.98, 1,0.885,0.725,1.0675,0.29,1.0633333333333332,0.92,0
39, 0, 1.585, 0.98, 1,0.875,0.74,1.1175,0.4666666666666666,1.0833333333333333,0.9666666666666667,0
40, 0, 1.627, 0.93, 1,0.905,0.7,1.015,0.37999999999999995,1.0366666666666666,0.8900000000000001,0
41, 0, 1.668, 0.93, 1,1.0,0.665,0.8925000000000001,0.45,1.0233333333333334,0.9533333333333335,0
