frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.93, 1, 0.84, 0.10, 2.31, 0.00, 0.31, 2.78, 0.24, 0.29, 0.00, 1.28, 0.52, 0.00, 0.24, 0.20, 2.17, 0.00, 1.70, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0
2, 0, 0.033, 0.98, 1, 0.58, 0.02, 2.47, 0.00, 0.32, 2.29, 0.00, 0.92, 0.22, 0.31, 0.38, 0.43, 0.66, 0.00, 2.32, 0.36, 1.82, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
3, 0, 0.067, 0.98, 1, 0.50, 0.00, 2.51, 0.00, 0.04, 2.26, 0.00, 0.92, 0.02, 0.00, 0.29, 0.13, 0.45, 0.00, 1.88, 0.00, 1.87, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
4, 0, 0.100, 0.98, 1, 0.78, 0.00, 2.52, 0.00, 0.00, 2.10, 0.00, 0.66, 0.00, 0.00, 0.52, 0.36, 0.65, 0.00, 1.42, 0.00, 1.90, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
5, 0, 0.133, 0.98, 1, 0.60, 0.00, 2.27, 0.00, 0.00, 1.90, 0.00, 0.81, 0.00, 0.00, 0.43, 0.52, 0.89, 0.00, 1.21, 0.00, 1.93, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
6, 0, 0.167, 0.98, 1, 0.88, 0.00, 2.26, 0.00, 0.00, 1.71, 0.00, 0.92, 0.00, 0.00, 0.76, 0.92, 1.28, 0.00, 0.57, 0.00, 1.96, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
7, 0, 0.200, 0.98, 1, 0.82, 0.00, 2.25, 0.00, 0.00, 1.93, 0.00, 0.73, 0.00, 0.00, 0.78, 1.29, 1.42, 0.03, 0.22, 0.00, 1.95, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0
8, 0, 0.234, 0.98, 1, 0.74, 0.00, 2.18, 0.00, 0.00, 2.18, 0.03, 0.96, 0.00, 0.00, 0.88, 1.58, 1.25, 0.02, 0.00, 0.00, 1.91, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
9, 0, 0.267, 0.98, 1, 0.72, 0.00, 2.12, 0.00, 0.00, 1.93, 0.00, 0.80, 0.00, 0.00, 1.02, 1.74, 1.39, 0.00, 0.00, 0.00, 1.91, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
10, 0, 0.300, 0.98, 1, 0.80, 0.00, 2.06, 0.00, 0.00, 1.89, 0.00, 0.78, 0.00, 0.00, 0.87, 1.72, 1.30, 0.05, 0.00, 0.00, 1.81, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
