frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.13, 0, 0.93, 0.00, 0.00, 1.19, 1.48, 1.27, 0.00, 0.89, 0.17, 0.63, 0.00, 0.00, 1.21, 1.42, 0.00, 0.00, 0.00, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2, 0, 0.033, 0.03, 0, 1.57, 0.19, 0.00, 0.23, 2.14, 1.85, 0.00, 0.56, 0.90, 1.03, 0.00, 0.00, 0.89, 1.91, 0.00, 0.00, 0.00, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1
3, 0, 0.067, 0.68, 0, 1.00, 0.23, 0.26, 0.00, 2.01, 0.45, 0.00, 0.90, 1.63, 2.08, 0.00, 0.00, 0.09, 1.01, 1.84, 0.16, 0.48, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
4, 0, 0.100, 0.77, 1, 1.09, 0.00, 0.00, 0.00, 1.89, 1.10, 0.00, 0.97, 2.10, 3.10, 0.00, 0.00, 0.00, 0.00, 3.13, 3.07, 0.93, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 0.133, 0.98, 1, 0.92, 0.00, 0.07, 0.00, 1.91, 1.41, 0.00, 1.08, 1.98, 3.22, 0.00, 0.00, 0.00, 0.00, 3.35, 3.64, 0.79, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
6, 0, 0.167, 0.77, 1, 1.18, 0.00, 0.00, 0.00, 1.86, 1.56, 0.00, 0.48, 1.81, 2.11, 0.00, 0.30, 0.00, 0.00, 3.90, 4.31, 0.80, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
7, 0, 0.200, 0.88, 1, 0.93, 0.00, 0.00, 0.00, 1.77, 2.06, 0.00, 0.19, 1.45, 1.85, 0.00, 0.42, 0.00, 0.00, 3.42, 4.53, 0.69, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
8, 0, 0.234, 0.98, 1, 0.78, 0.00, 0.00, 0.00, 1.81, 2.65, 0.00, 0.35, 1.50, 1.82, 0.00, 0.36, 0.00, 0.00, 3.39, 5.00, 0.54, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
9, 0, 0.267, 0.88, 1, 0.33, 0.00, 0.00, 0.00, 1.80, 2.98, 0.00, 0.45, 1.32, 2.14, 0.00, 0.31, 0.00, 0.00, 3.17, 4.77, 0.87, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
10, 0, 0.300, 0.98, 1, 0.43, 0.00, 0.00, 0.00, 1.34, 2.17, 0.00, 0.38, 0.94, 2.72, 0.49, 0.63, 0.00, 0.00, 2.46, 3.92, 1.08, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
