frame,FE01,FE02,FE03,FE04,FE05,FE06
1,0,0,0.562,0,0,0
2,0,0,0.8520000000000001,0,0,0
3,0,0,0.7260000000000001,0,0,0
4,0,0,0.966,0,0,0
5,0,0,0.833,0,0,0
6,0,0,0.802,0,0,0
7,0,0,0.8940000000000001,0,0,0
8,0,0,0.7210000000000001,0,0,0
9,0,0,0.7570000000000001,0,0,0
10,0,0,0.7550000000000001,0,0,0
11,0,0,0.75,0,0,0
12,0,0,0.8940000000000001,0,0,0
13,0,0,0.8750000000000001,0,0,0
14,0.78,0,0,0,0,0
15,0.821,0,0,0,0,0
16,0.7979999999999999,0,0,0,0,0
17,0.891,0,0,0,0,0
18,0.931,0,0,0,0,0
19,0.9930000000000001,0,0,0,0,0
20,1.0630000000000002,0,0,0,0,0
21,0.9849999999999999,0,0,0,0,0
22,1.048,0,0,0,0,0
23,1.029,0,0,0,0,0
24,1.061,0,0,0,0,0
25,1.028,0,0,0,0,0
26,1.131,0,0,0,0,0
27,1.2000000000000002,0,0,0,0,0
28,1.1880000000000002,0,0,0,0,0
29,1.241,0,0,0,0,0
30,1.2320000000000002,0,0,0,0,0
31,1.269,0,0,0,0,0
32,1.249,0,0,0,0,0
33,1.319,0,0,0,0,0
34,1.319,0,0,0,0,0
35,1.258,0,0,0,0,0
36,1.2599999999999998,0,0,0,0,0
37,1.207,0,0,0,0,0
38,1.2029999999999998,0,0,0,0,0
39,1.26,0,0,0,0,0
40,1.342,0,0,0,0,0
41,1.375,0,0,0,0,0
42,1.3450000000000002,0,0,0,0,0
43,1.444,0,0,0,0,0
44,1.338,0,0,0,0,0
45,1.367,0,0,0,0,0
46,1.37,0,0,0,0,0
47,1.383,0,0,0,0,0
48,1.4009999999999998,0,0,0,0,0
49,1.561,0,0,0,0,0
50,1.4979999999999998,0,0,0,0,0
51,1.4409999999999998,0,0,0,0,0
52,1.4169999999999998,0,0,0,0,0
53,1.4489999999999998,0,0,0,0,0
54,1.3329999999999997,0,0,0,0,0
55,1.38,0,0,0,0,0
56,1.46,0,0,0,0,0
57,1.3619999999999999,0,0,0,0,0
58,1.4169999999999998,0,0,0,0,0
59,1.388,0,0,0,0,0
60,1.444,0,0,0,0,0
61,1.417,0,0,0,0,0
62,1.436,0,0,0,0,0
63,1.496,0,0,0,0,0
