frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
1, 0, 0.000, 0.93, 1,0.255,0.465,0.2175,0.0,0.3566666666666667,0.0,0
2, 0, 0.033, 0.93, 1,0.37,0.415,0.41000000000000003,0.0,0.6966666666666668,0.0,0
3, 0, 0.067, 0.93, 1,0.43,0.425,0.43,0.0,0.6933333333333334,0.0,0
4, 0, 0.100, 0.93, 1,0.54,0.375,0.615,0.0,0.7533333333333334,0.0,0
5, 0, 0.133, 0.93, 1,0.545,0.425,0.445,0.0,0.8033333333333333,0.0,0
6, 0, 0.167, 0.93, 1,0.57,0.45,0.505,0.0,0.8066666666666666,0.0,0
7, 0, 0.200, 0.93, 1,0.55,0.395,0.51,0.0,0.8833333333333333,0.0,0
8, 0, 0.234, 0.93, 1,0.7,0.415,0.5375,0.0,0.8866666666666667,0.0,0
9, 0, 0.267, 0.93, 1,0.785,0.285,0.5650000000000001,0.0,0.81,0.08333333333333333,0
10, 0, 0.300, 0.93, 1,0.88,0.325,0.5625,0.0,0.8733333333333334,0.09333333333333334,0
11, 0, 0.334, 0.93, 1,1.0,0.29,0.6375,0.02,0.7466666666666667,0.12333333333333334,0
12, 0, 0.367, 0.93, 1,0.9550000000000001,0.29,0.755,0.04,0.9166666666666666,0.16666666666666666,0
13, 0, 0.400, 0.93, 1,1.0550000000000002,0.395,0.665,0.0,0.8733333333333334,0.13,0
14, 0, 0.434, 0.93, 1,1.12,0.315,0.6475,0.0,0.8366666666666668,0.04,0
15, 0, 0.467, 0.93, 1,1.155,0.24,0.6025,0.0,0.83,0.12333333333333334,0
16, 0, 0.501, 0.93, 1,1.13,0.245,0.6699999999999999,0.0,0.8566666666666666,0.14333333333333334,0
17, 0, 0.534, 0.93, 1,1.225,0.26,0.735,0.0,0.8866666666666666,0.14666666666666667,0
18, 0, 0.567, 0.93, 1,1.275,0.285,0.79,0.02666666666666667,1.0166666666666666,0.09666666666666666,0
19, 0, 0.601, 0.93, 1,1.345,0.275,0.75,0.0,0.93,0.09999999999999999,0
20, 0, 0.634, 0.93, 1,1.425,0.36,0.64,0.0,0.7400000000000001,0.08333333333333333,0
21, 0, 0.667, 0.98, 1,1.315,0.26,0.69,0.0,0.77,0.14666666666666667,0
22, 0, 0.701, 0.93, 1,1.38,0.155,0.7075,0.0,0.7866666666666666,0.06,0
23, 0, 0.734, 0.93, 1,1.365,0.165,0.725,0.0,0.86,0.06666666666666667,0
24, 0, 0.767, 0.93, 1,1.405,0.2,0.7625,0.0,0.9066666666666666,0.21666666666666667,0
25, 0, 0.801, 0.93, 1,1.3599999999999999,0.115,0.8274999999999999,0.22,1.0333333333333332,0.09666666666666666,0
26, 0, 0.834, 0.98, 1,1.475,0.095,0.84,0.15,0.9366666666666666,0.10666666666666667,0
27, 0, 0.868, 0.98, 1,1.56,0.18,0.89,0.20666666666666667,1.09,0.16666666666666666,0
28, 0, 0.901, 0.98, 1,1.55,0.21,0.865,0.06,0.9333333333333335,0.11666666666666665,0
29, 0, 0.934, 0.98, 1,1.6150000000000002,0.145,0.8325,0.0,1.06,0.15,0
30, 0, 0.968, 0.98, 1,1.6,0.115,0.7525,0.19666666666666666,0.9400000000000001,0.16,0
31, 0, 1.001, 0.98, 1,1.6749999999999998,0.135,0.8374999999999999,0.0,0.9066666666666667,0.15333333333333335,0
32, 0, 1.034, 0.98, 1,1.625,0.11,0.8625,0.0,1.0133333333333334,0.16666666666666666,0
33, 0, 1.068, 0.98, 1,1.7349999999999999,0.09,0.9225,0.14333333333333334,0.9566666666666667,0.15333333333333335,0
34, 0, 1.101, 0.98, 1,1.7249999999999999,0.105,0.9175,0.0,0.9199999999999999,0.17333333333333334,0
35, 0, 1.134, 0.98, 1,1.65,0.12,0.885,0.11,0.8266666666666667,0.14666666666666667,0
36, 0, 1.168, 0.98, 1,1.64,0.135,0.935,0.0,0.89,0.17333333333333334,0
37, 0, 1.201, 0.98, 1,1.5550000000000002,0.11,0.725,0.08666666666666667,0.7966666666666667,0.20666666666666667,0
38, 0, 1.235, 0.98, 1,1.535,0.05,0.73,0.17,0.7933333333333333,0.21333333333333335,0
39, 0, 1.268, 0.98, 1,1.63,0.12,0.7475,0.06999999999999999,0.8466666666666667,0.16333333333333333,0
40, 0, 1.301, 0.98, 1,1.71,0.1,0.8525,0.38999999999999996,0.8533333333333334,0.17,0
41, 0, 1.335, 0.98, 1,1.755,0.03,0.915,0.26666666666666666,0.9033333333333333,0.15,0
42, 0, 1.368, 0.98, 1,1.715,0.135,0.795,0.17333333333333334,0.7566666666666667,0.19333333333333333,0
43, 0, 1.401, 0.98, 1,1.83,0.085,0.7575000000000001,0.26333333333333336,0.8099999999999999,0.19333333333333333,0
44, 0, 1.435, 0.98, 1,1.69,0.08,0.7849999999999999,0.09666666666666666,0.7999999999999999,0.19666666666666666,0
45, 0, 1.468, 0.98, 1,1.755,0.145,0.8225,0.10666666666666667,0.8533333333333334,0.22999999999999998,0
46, 0, 1.502, 0.98, 1,1.77,0.07,0.825,0.12,0.8500000000000001,0.2333333333333333,0
47, 0, 1.535, 0.98, 1,1.785,0.1,0.955,0.27999999999999997,0.9233333333333332,0.17,0
48, 0, 1.568, 0.98, 1,1.835,0.105,0.9825,0.22999999999999998,0.9500000000000001,0.20333333333333334,0
49, 0, 1.602, 0.98, 1,1.995,0.05,1.115,0.3,1.09,0.22666666666666668,0
50, 0, 1.635, 0.98, 1,1.93,0.155,0.9275,0.22666666666666668,0.9700000000000001,0.20666666666666667,0
51, 0, 1.668, 0.98, 1,1.885,0.15,0.985,0.15,1.0133333333333334,0.21,0
52, 0, 1.702, 0.98, 1,1.845,0.115,1.0375,0.2333333333333333,1.0333333333333334,0.17,0
53, 0, 1.735, 0.98, 1,1.895,0.085,1.0525,0.24333333333333332,1.0766666666666667,0.14666666666666667,0
54, 0, 1.768, 0.98, 1,1.755,0.075,1.0175,0.27,1.1033333333333333,0.18000000000000002,0
55, 0, 1.802, 0.98, 1,1.81,0.19,1.0499999999999998,0.2333333333333333,1.0233333333333332,0.21333333333333335,0
56, 0, 1.835, 0.98, 1,1.91,0.19,1.105,0.17333333333333334,1.0133333333333334,0.15,0
57, 0, 1.869, 0.98, 1,1.79,0.2,1.025,0.4033333333333333,0.9199999999999999,0.18333333333333335,0
58, 0, 1.902, 0.98, 1,1.855,0.16,1.0474999999999999,0.24,1.0,0.17333333333333334,0
59, 0, 1.935, 0.98, 1,1.81,0.145,1.0175,0.39666666666666667,1.0433333333333332,0.11666666666666665,0
60, 0, 1.969, 0.98, 1,1.8800000000000001,0.115,1.0899999999999999,0.37666666666666665,1.1466666666666667,0.16,0
