 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
382.46,256.9800000000001,866.4199999999995,145.13000000000002,0.89,30.410000000000004,1.2000000000000002,1.78,0.66,0.0,247.13000000000008,367.70999999999975,204.48999999999995,9.279999999999998,95.97,108.08999999999996,17.400000000000006
250,198,250,207,1,47,2,1,1,0,248,249,219,56,93,212,127
