 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
372.94999999999965,111.48999999999997,145.26000000000002,157.65000000000003,54.96,270.2599999999998,36.13999999999999,325.75,123.36999999999995,58.599999999999994,196.45999999999995,379.27,34.18,13.420000000000003,339.51000000000005,589.9100000000004,82.03999999999986
297,217,205,209,100,274,91,297,213,69,254,251,90,28,257,290,188
