 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
216.19999999999993,126.86000000000006,239.98999999999995,198.3400000000001,201.04000000000002,777.47,249.16,146.34000000000003,225.80999999999997,65.24,268.44000000000005,109.78,275.8300000000001,74.94999999999999,197.74000000000004,29.659999999999997,200.54999999999998
279,197,179,203,191,276,169,195,218,97,256,116,275,173,179,97,219
