frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 1.10, 0.85, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.33, 0.00, 0.00, 0.31, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 0, 0.033, 0.98, 1, 0.00, 0.00, 1.05, 0.81, 0.00, 0.00, 0.34, 0.00, 0.00, 0.00, 0.00, 0.86, 0.00, 0.41, 0.00, 0.00, 0.25, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 0, 0.067, 0.98, 1, 0.00, 0.00, 0.85, 1.10, 0.00, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 0.85, 0.00, 0.35, 0.00, 0.00, 0.11, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 0, 0.100, 0.98, 1, 0.00, 0.00, 0.85, 0.97, 0.00, 0.10, 0.29, 0.00, 0.00, 0.00, 0.00, 0.92, 0.00, 0.45, 0.00, 0.00, 0.29, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 0, 0.133, 0.98, 1, 0.00, 0.00, 0.92, 0.89, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.01, 0.76, 0.00, 0.33, 0.00, 0.00, 0.29, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 0, 0.167, 0.98, 1, 0.00, 0.00, 0.79, 0.77, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 0.71, 0.00, 0.21, 0.00, 0.00, 0.27, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 0, 0.200, 0.98, 1, 0.00, 0.00, 0.88, 0.81, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.33, 0.00, 0.00, 0.29, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 0, 0.234, 0.98, 1, 0.00, 0.00, 0.83, 0.88, 0.00, 0.08, 0.16, 0.00, 0.00, 0.00, 0.00, 0.80, 0.00, 0.36, 0.00, 0.00, 0.32, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 0, 0.267, 0.98, 1, 0.00, 0.12, 0.00, 1.04, 0.00, 0.27, 0.15, 0.00, 0.00, 0.00, 0.00, 0.48, 0.00, 0.00, 0.00, 0.32, 0.24, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 0, 0.300, 0.98, 1, 0.27, 1.02, 0.00, 0.80, 0.00, 0.00, 0.00, 0.00, 0.79, 0.32, 0.00, 0.00, 0.00, 0.20, 0.17, 0.25, 0.13, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
