 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
338.9599999999999,72.14999999999998,1998.3199999999986,43.08,146.13,1109.25,298.5899999999999,983.5600000000003,74.77000000000001,228.82999999999996,375.29999999999956,657.3599999999991,826.1100000000005,13.219999999999999,819.5100000000001,423.7500000000006,1667.9000000000003
644,180,903,100,429,699,625,866,273,443,662,701,780,71,597,504,903
