frame,FE01,FE02,FE03,FE04,FE05,FE06
5,2.377,0,0,0,0,0
8,2.129,0,0,0,0,0
10,1.476,0,0,0,0,0
11,1.287,0,0,0,0,0
12,1.182,0,0,0,0,0
13,1.2229999999999999,0,0,0,0,0
14,1.1500000000000001,0,0,0,0,0
15,1.2510000000000001,0,0,0,0,0
16,1.482,0,0,0,0,0
17,1.479,0,0,0,0,0
18,1.4340000000000002,0,0,0,0,0
19,1.2120000000000002,0,0,0,0,0
20,1.36,0,0,0,0,0
21,1.306,0,0,0,0,0
22,1.229,0,0,0,0,0
23,1.326,0,0,0,0,0
24,1.288,0,0,0,0,0
25,1.022,0,0,0,0,0
26,0,0,0,0.685,0,0
27,0,0,0,0.8340000000000001,0,0
28,0,0,0,0.721,0,0
29,0,0,0,1.2089999999999999,0,0
34,0,0,0,1.594,0,0
35,0,0,0,1.4889999999999999,0,0
36,0,0,0,1.478,0,0
37,0,0,0,1.286,0,0
38,1.073,0,0,0,0,0
39,1.169,0,0,0,0,0
40,1.196,0,0,0,0,0
41,1.2269999999999999,0,0,0,0,0
42,1.007,0,0,0,0,0
43,0.891,0,0,0,0,0
44,1.0030000000000001,0,0,0,0,0
45,1.0759999999999998,0,0,0,0,0
46,1.084,0,0,0,0,0
47,1.027,0,0,0,0,0
48,0.965,0,0,0,0,0
49,0.9979999999999999,0,0,0,0,0
50,1.083,0,0,0,0,0
51,1.092,0,0,0,0,0
52,1.236,0,0,0,0,0
53,1.174,0,0,0,0,0
54,1.1989999999999998,0,0,0,0,0
55,1.262,0,0,0,0,0
56,1.188,0,0,0,0,0
57,0,0,1.1480000000000001,0,0,0
58,1.089,0,0,0,0,0
59,0.99,0,0,0,0,0
60,0,0,0.9530000000000001,0,0,0
61,0.871,0,0,0,0,0
62,0.72,0,0,0,0,0
63,0.736,0,0,0,0,0
64,0,0,0.619,0,0,0
65,0,0,0,0.544,0,0
66,0,0,0,0.747,0,0
67,0,0,0,0.759,0,0
68,0,0,0,0.6930000000000001,0,0
69,0,0,0,0.579,0,0
70,0,0,0,0.609,0,0
71,0,0,0,0.621,0,0
75,0,0,0,0.711,0,0
76,0,0.743,0,0,0,0
77,0,0.762,0,0,0,0
78,0,0,0,0.837,0,0
79,0,0,0,0.993,0,0
80,0,0,0,0.9989999999999999,0,0
81,0,0,0,1.008,0,0
82,0,0,0,0,0,1.0333333333333334
83,0,0,0,0,0,0.8333333333333334
84,0,0,0,0,0,0.8266666666666667
85,0,0,0,0,0,0.8799999999999999
86,0,0,0,1.008,0,0
88,0,0,0,0,0,0.91
89,0,1.044,0,0,0,0
98,0,0,0,0.5409999999999999,0,0
99,0,0.692,0,0,0,0
100,0,0.813,0,0,0,0
101,0,0,0.811,0,0,0
105,0,0,0,0,0,0.8633333333333333
106,0,0,0.786,0,0,0
107,0,0,0,0,0,0.7766666666666667
108,0,0.891,0,0,0,0
120,0,1.112,0,0,0,0
121,0,1.276,0,0,0,0
122,0,0,0,0,0,1.47
131,0,0.863,0,0,0,0
132,0,0.8460000000000001,0,0,0,0
139,0,0,0,0,0,0.51
145,0,0,0,0,0,0.8700000000000001
146,0,0.9020000000000001,0,0,0,0
147,0,0.963,0,0,0,0
153,0,0,0,1.0990000000000002,0,0
154,0,0,0,0.9389999999999998,0,0
155,0,0,0,1.101,0,0
156,0,0,0,0,0,1.1266666666666667
157,0,0,0,0,0,0.9066666666666667
158,0,0,0,0,0,0.6466666666666667
159,0,0,0,0,0,0.5966666666666667
160,0,0,0,0.699,0,0
161,0,0.545,0,0,0,0
162,0,0,0.467,0,0,0
163,0.46900000000000003,0,0,0,0,0
164,0.524,0,0,0,0,0
165,0.6699999999999999,0,0,0,0,0
166,0.6749999999999999,0,0,0,0,0
167,0.573,0,0,0,0,0
168,0,0,0,0.816,0,0
169,0,0,0.9840000000000002,0,0,0
170,0,0,0.9289999999999999,0,0,0
171,0,0,0.9809999999999999,0,0,0
172,0,1.08,0,0,0,0
173,0,0.8979999999999999,0,0,0,0
174,0,0,0,0,0,0.7399999999999999
175,0,0,0,0,0,0.7133333333333333
176,0,0,0,0.663,0,0
177,0,0,0,0.6599999999999999,0,0
178,0,0,0,0.717,0,0
179,0,0,0,0,0,0.7433333333333333
183,0,1.064,0,0,0,0
184,0,0.956,0,0,0,0
185,0,0.887,0,0,0,0
186,0,1.029,0,0,0,0
207,0,0,1.023,0,0,0
208,0,0,0.9500000000000001,0,0,0
209,0,0,0,0,0,0.96
210,0,1.107,0,0,0,0
223,0,0,0,1.175,0,0
224,0,0,0,0,0,0.9566666666666667
225,0,0,0,0,0,1.14
228,0,1.1400000000000001,0,0,0,0
229,0,1.194,0,0,0,0
230,0,0,0,0,0,0.9833333333333334
231,0,0,0,0,0,0.8866666666666667
232,0,0.808,0,0,0,0
233,0,0,0,0,0,0.7866666666666666
234,0,0,0,0,0,0.7666666666666666
235,0,0,0,0,0,0.8300000000000001
236,0,0,0,0,0,0.8300000000000001
237,0,0,0,0.8520000000000001,0,0
238,0,0.9099999999999999,0,0,0,0
239,0,0,0,0.834,0,0
240,0,0.9319999999999999,0,0,0,0
241,0,0,0,1.135,0,0
244,0,1.015,0,0,0,0
245,0,0.901,0,0,0,0
246,0,0,0,0.8839999999999999,0,0
247,0,0.91,0,0,0,0
248,0,0.9390000000000001,0,0,0,0
253,0,0,0,0,0,1.46
254,0,1.4420000000000002,0,0,0,0
255,0,1.51,0,0,0,0
256,0,1.444,0,0,0,0
257,0,1.3719999999999999,0,0,0,0
261,0,1.061,0,0,0,0
262,0.9630000000000001,0,0,0,0,0
263,0.886,0,0,0,0,0
264,0.9429999999999998,0,0,0,0,0
266,1.024,0,0,0,0,0
267,1.073,0,0,0,0,0
268,0.9339999999999999,0,0,0,0,0
269,0.8559999999999999,0,0,0,0,0
270,0.97,0,0,0,0,0
271,1.067,0,0,0,0,0
272,1.145,0,0,0,0,0
273,1.0339999999999998,0,0,0,0,0
274,0.9530000000000001,0,0,0,0,0
275,0.9269999999999999,0,0,0,0,0
276,0.7809999999999999,0,0,0,0,0
277,0,0,0.7589999999999999,0,0,0
278,0,0,0,0.673,0,0
281,0,0,1.2180000000000002,0,0,0
282,0,0,1.251,0,0,0
284,0,0,1.085,0,0,0
285,0,0,1.165,0,0,0
286,0,0,1.135,0,0,0
287,0,0,1.008,0,0,0
288,0,0,1.114,0,0,0
289,0,0,1.08,0,0,0
290,0,0,1.072,0,0,0
291,1.17,0,0,0,0,0
292,1.1560000000000001,0,0,0,0,0
