frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
25, 0, 1.000, 0.88, 1, 0.98, 0.00, 0.97, 1.43, 0.60, 1.68, 0.10, 1.72, 0.30, 0.00, 0.70, 0.22, 0.00, 0.15, 0.00, 0.00, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26, 0, 1.042, 0.22, 0, 1.49, 0.00, 0.00, 1.23, 0.23, 1.00, 0.00, 0.28, 0.14, 0.00, 0.15, 0.13, 0.52, 1.58, 0.00, 0.00, 1.02, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1
27, 0, 1.083, 0.03, 0, 1.34, 0.00, 0.00, 1.53, 0.00, 0.00, 0.00, 0.62, 0.21, 0.02, 1.06, 3.39, 0.43, 1.67, 0.00, 0.04, 0.54, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
28, 0, 1.125, 0.03, 0, 1.08, 0.00, 0.64, 1.31, 0.50, 0.00, 0.16, 0.00, 0.00, 2.05, 1.11, 2.81, 0.28, 0.90, 0.00, 0.00, 0.00, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1
29, 0, 1.167, 0.03, 0, 1.61, 0.00, 0.00, 1.34, 0.55, 0.00, 0.00, 0.00, 0.00, 1.09, 1.10, 1.89, 0.92, 0.90, 0.00, 0.00, 0.19, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
30, 0, 1.208, 0.03, 0, 0.34, 0.00, 0.00, 0.57, 0.28, 0.00, 0.00, 0.56, 0.03, 0.71, 1.04, 1.71, 1.17, 0.80, 0.00, 0.00, 0.06, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
31, 0, 1.250, 0.03, 0, 0.04, 0.00, 0.00, 0.20, 0.00, 0.00, 0.00, 0.51, 0.00, 0.00, 1.06, 1.69, 1.00, 0.38, 0.00, 0.00, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
33, 0, 1.333, 0.88, 1, 1.26, 0.00, 0.00, 0.44, 0.22, 0.00, 0.00, 1.30, 0.17, 0.00, 0.86, 0.00, 1.59, 0.00, 1.24, 0.97, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
34, 0, 1.375, 0.88, 1, 1.40, 0.19, 0.00, 0.57, 0.05, 0.00, 0.00, 0.91, 0.20, 0.00, 0.77, 0.00, 1.15, 0.00, 1.29, 1.21, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
35, 0, 1.417, 0.88, 1, 1.50, 0.04, 0.00, 0.72, 0.31, 0.00, 0.00, 0.88, 0.23, 0.00, 0.77, 0.18, 1.04, 0.00, 0.95, 0.93, 0.00, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
