frame,FE01,FE02,FE03,FE04,FE05,FE06
2,0,0,0,0.891,0,0
3,0,0,0,1.0590000000000002,0,0
4,0,0,0,1.0730000000000002,0,0
5,0,0,0,1.111,0,0
6,0,0,0,1.3330000000000002,0,0
7,0,0,0,1.143,0,0
8,0,0,0,1.052,0,0
9,0,0,0,1.197,0,0
10,0,0,0,1.3000000000000003,0,0
13,0,0,0,1.8610000000000002,0,0
14,0,0,0,2.018,0,0
15,0,0,0,1.7129999999999999,0,0
16,0,1.8739999999999999,0,0,0,0
17,0,0,0,1.8670000000000002,0,0
18,0,0,0,1.7780000000000002,0,0
19,0,0,0,1.8,0,0
20,0,1.822,0,0,0,0
21,0,1.9030000000000002,0,0,0,0
22,0,1.9020000000000001,0,0,0,0
23,0,1.987,0,0,0,0
24,0,1.9980000000000002,0,0,0,0
25,0,1.9420000000000002,0,0,0,0
26,0,2.04,0,0,0,0
27,0,2.238,0,0,0,0
28,0,2.063,0,0,0,0
29,0,1.933,0,0,0,0
30,0,1.9869999999999997,0,0,0,0
31,0,0,0,2.1500000000000004,0,0
32,0,1.944,0,0,0,0
33,0,1.8889999999999998,0,0,0,0
34,0,1.996,0,0,0,0
35,0,0,0,2.0,0,0
36,0,0,0,2.105,0,0
37,0,0,0,1.878,0,0
38,0,0,0,2.005,0,0
39,0,2.058,0,0,0,0
40,0,0,0,1.9569999999999999,0,0
41,0,1.9979999999999998,0,0,0,0
42,0,2.052,0,0,0,0
43,0,2.117,0,0,0,0
44,0,2.025,0,0,0,0
45,0,2.16,0,0,0,0
46,0,2.179,0,0,0,0
51,0,2.201,0,0,0,0
52,0,2.1799999999999997,0,0,0,0
53,0,2.335,0,0,0,0
54,0,2.246,0,0,0,0
55,0,2.229,0,0,0,0
56,0,2.291,0,0,0,0
57,0,2.09,0,0,0,0
58,0,2.162,0,0,0,0
59,0,2.085,0,0,0,0
60,0,2.199,0,0,0,0
61,0,2.083,0,0,0,0
62,0,1.909,0,0,0,0
63,0,2.077,0,0,0,0
64,0,2.008,0,0,0,0
65,0,2.055,0,0,0,0
66,0,1.96,0,0,0,0
67,0,2.081,0,0,0,0
68,0,1.952,0,0,0,0
69,0,2.0100000000000002,0,0,0,0
70,0,2.116,0,0,0,0
71,0,2.239,0,0,0,0
72,0,2.217,0,0,0,0
73,0,2.105,0,0,0,0
74,0,2.2560000000000002,0,0,0,0
75,0,2.137,0,0,0,0
76,0,2.215,0,0,0,0
77,0,2.061,0,0,0,0
78,0,2.117,0,0,0,0
79,0,2.119,0,0,0,0
80,0,2.0740000000000003,0,0,0,0
81,0,2.252,0,0,0,0
82,0,2.157,0,0,0,0
83,0,2.187,0,0,0,0
84,0,2.145,0,0,0,0
85,0,2.0949999999999998,0,0,0,0
86,0,2.211,0,0,0,0
87,0,2.0549999999999997,0,0,0,0
88,0,2.129,0,0,0,0
89,0,1.972,0,0,0,0
90,0,2.129,0,0,0,0
91,0,2.106,0,0,0,0
92,0,2.07,0,0,0,0
93,0,2.05,0,0,0,0
94,0,2.064,0,0,0,0
95,0,2.018,0,0,0,0
96,0,1.9489999999999998,0,0,0,0
97,0,1.822,0,0,0,0
98,0,1.839,0,0,0,0
99,0,1.793,0,0,0,0
100,0,1.831,0,0,0,0
102,0,1.776,0,0,0,0
103,0,1.8690000000000002,0,0,0,0
159,0,2.028,0,0,0,0
163,0,1.906,0,0,0,0
164,0,2.083,0,0,0,0
165,0,0,0,2.045,0,0
166,0,0,0,1.9000000000000001,0,0
167,0,0,0,1.8330000000000002,0,0
168,0,0,0,1.792,0,0
169,0,0,0,1.6870000000000003,0,0
170,0,0,0,1.7710000000000001,0,0
171,0,0,0,1.75,0,0
172,0,0,0,1.834,0,0
173,0,0,0,1.811,0,0
174,0,0,0,1.811,0,0
175,0,0,0,1.875,0,0
176,0,0,0,1.9289999999999998,0,0
177,0,0,0,1.76,0,0
178,0,0,0,1.778,0,0
179,0,0,0,1.855,0,0
180,0,0,0,1.9729999999999999,0,0
181,0,0,0,1.866,0,0
182,0,0,0,1.9290000000000003,0,0
183,0,0,0,1.983,0,0
184,0,0,0,2.007,0,0
185,0,0,0,1.833,0,0
186,0,0,0,1.919,0,0
187,0,0,0,1.956,0,0
188,0,0,0,1.935,0,0
189,0,0,0,1.782,0,0
190,0,0,0,1.767,0,0
191,0,0,0,1.6720000000000002,0,0
192,0,0,0,1.719,0,0
193,0,0,0,1.7120000000000002,0,0
194,0,0,0,1.745,0,0
195,0,0,0,1.7310000000000003,0,0
196,0,0,0,1.792,0,0
197,0,0,0,1.858,0,0
198,0,0,0,1.903,0,0
199,0,0,0,1.8250000000000002,0,0
200,0,0,0,1.952,0,0
201,0,0,0,1.9720000000000002,0,0
202,0,0,0,2.0340000000000003,0,0
203,0,0,0,2.0450000000000004,0,0
204,0,0,0,1.918,0,0
205,0,0,0,1.741,0,0
206,0,0,0,1.9530000000000003,0,0
207,0,0,0,1.929,0,0
208,0,0,0,1.97,0,0
209,0,0,0,2.001,0,0
210,0,0,0,2.061,0,0
211,0,0,0,2.077,0,0
212,0,0,0,2.007,0,0
213,0,0,0,2.089,0,0
214,0,0,0,2.128,0,0
215,0,0,0,2.1270000000000002,0,0
216,0,0,0,2.047,0,0
217,0,0,0,1.962,0,0
218,0,0,0,2.02,0,0
