frame,FE01,FE02,FE03,FE04,FE05,FE06
1,0,0.7430000000000001,0,0,0,0
2,0,0.7129999999999999,0,0,0,0
3,0,0.987,0,0,0,0
4,0,0.942,0,0,0,0
5,0,0.927,0,0,0,0
6,0,1.0310000000000001,0,0,0,0
7,0,1.036,0,0,0,0
11,1.034,0,0,0,0,0
13,1.616,0,0,0,0,0
14,1.959,0,0,0,0,0
15,1.931,0,0,0,0,0
16,1.9729999999999999,0,0,0,0,0
17,2.483,0,0,0,0,0
18,2.83,0,0,0,0,0
19,2.935,0,0,0,0,0
20,2.913,0,0,0,0,0
21,2.935,0,0,0,0,0
22,2.9370000000000003,0,0,0,0,0
23,3.023,0,0,0,0,0
24,3.004,0,0,0,0,0
25,2.871,0,0,0,0,0
26,2.8630000000000004,0,0,0,0,0
33,0,0,1.971,0,0,0
34,0,0,1.9900000000000002,0,0,0
35,0,0,1.973,0,0,0
36,0,0,2.109,0,0,0
37,0,0,2.167,0,0,0
38,0,0,1.9360000000000002,0,0,0
39,0,0,1.936,0,0,0
40,0,0,1.8570000000000002,0,0,0
41,0,0,1.8820000000000003,0,0,0
45,0,0,1.457,0,0,0
56,0,0,0,1.7189999999999999,0,0
57,0,0,0.465,0,0,0
58,0,0,0.436,0,0,0
59,0,0,0.44300000000000006,0,0,0
60,0,0,0.4690000000000001,0,0,0
61,0,0,0.465,0,0,0
62,0,0,0.455,0,0,0
63,0,0,0.47500000000000003,0,0,0
64,0,0,0.458,0,0,0
65,0,0,0.48500000000000004,0,0,0
66,0,0,0.465,0,0,0
67,0,0,0.45400000000000007,0,0,0
68,0,0,0.52,0,0,0
69,0,0,0.501,0,0,0
70,0,0,0.5630000000000001,0,0,0
71,0,0,0.515,0,0,0
72,0,0,0.499,0,0,0
73,0,0,0.49600000000000005,0,0,0
74,0,0,0.48500000000000004,0,0,0
75,0,0,0.525,0,0,0
76,0,0,0.4760000000000001,0,0,0
77,0,0,0.4630000000000001,0,0,0
78,0,0,0.4980000000000001,0,0,0
79,0,0,0.542,0,0,0
80,0,0,0.493,0,0,0
81,0,0,0.475,0,0,0
82,0,0,0.4789999999999999,0,0,0
83,0,0,0.49900000000000005,0,0,0
84,0,0,0.5140000000000001,0,0,0
85,0,0,0.5050000000000001,0,0,0
86,0,0,0.49600000000000005,0,0,0
87,0,0,0.48,0,0,0
88,0,0,0.5240000000000001,0,0,0
89,0,0,0.5060000000000001,0,0,0
90,0,0,0.44499999999999995,0,0,0
91,0,0,0.46199999999999997,0,0,0
92,0,0,0.5060000000000001,0,0,0
93,0,0,0.5000000000000001,0,0,0
94,0,0,0.551,0,0,0
95,0,0,0.44500000000000006,0,0,0
96,0,0,0.496,0,0,0
97,0,0,0.492,0,0,0
98,0,0,0.488,0,0,0
99,0,0,0.517,0,0,0
100,0,0,0.5340000000000001,0,0,0
101,0,0,0.507,0,0,0
102,0,0,0.5120000000000001,0,0,0
103,0,0,0.476,0,0,0
104,0,0,0.5,0,0,0
105,0,0,0.5160000000000001,0,0,0
106,0,0,0.5800000000000001,0,0,0
107,0,0,0.555,0,0,0
108,0,0,0.531,0,0,0
109,0,0,0.535,0,0,0
110,0,0,0.4910000000000001,0,0,0
