frame, face_id, timestamp, confidence, success,FE01,FE02,FE03,FE04,FE05,FE06,FE07
40, 0, 1.560, 0.93, 1,0.0,0.4,0.3175,0.9466666666666667,0.0,0.68,0
43, 0, 1.680, 0.93, 1,0.0,0.425,0.4525,0.81,0.13666666666666666,0.5766666666666667,0
44, 0, 1.720, 0.93, 1,0.0,0.435,0.5349999999999999,0.9833333333333334,0.11,0.58,0
78, 0, 3.080, 0.98, 1,0.0,0.345,0.1675,1.18,0.0,0.75,0
148, 0, 5.880, 0.93, 1,0.0,0.465,0.675,0.49333333333333335,0.2866666666666667,0.4166666666666667,0
170, 0, 6.760, 0.93, 1,0.0,0.43,0.4075,0.6533333333333333,0.13,0.7266666666666667,0
