 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
259.11999999999995,44.37,148.4699999999999,312.0299999999999,231.06000000000003,233.73,124.22000000000001,227.7500000000001,144.51000000000016,95.16000000000001,208.52999999999994,149.08999999999997,448.86999999999995,76.71,206.0200000000001,23.7,71.21000000000001
215,72,164,201,155,127,91,190,193,114,204,134,211,136,144,27,137
