 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r
240.75000000000003,1.7400000000000002,390.06000000000006,137.46999999999997,5.46,395.15,22.990000000000002,0.0,0.91,0.26,36.18,358.1400000000001,141.9700000000001,10.7,0.25,1.2999999999999998,19.04
217,19,249,163,19,248,65,0,8,3,126,251,239,64,2,6,62
