frame,FE01,FE02,FE03,FE04,FE05,FE06
1,0,0,0.6050000000000001,0,0,0
2,0,0,0.9175,0,0,0
3,0,0,0.9100000000000001,0,0,0
4,0,0,0.89,0,0,0
5,0,0,0.8775000000000001,0,0,0
6,0,0,0.8925000000000001,0,0,0
7,0,0,0.9175,0,0,0
8,0,0,0.74,0,0,0
9,0,0,0.6749999999999999,0,0,0
10,0,0,0.5675,0,0,0
11,0,0,0.5775,0,0,0
12,0,0,0.6299999999999999,0,0,0
13,0,0,0.44999999999999996,0,0,0
14,0,0,0.525,0,0,0
15,0,0,0.5,0,0,0
16,0,0,0.46,0,0,0
17,0,0.45,0,0,0,0
18,0,0.46,0,0,0,0
19,0,0,0,0,0.43333333333333335,0
20,0,0,0,0,0.42333333333333334,0
21,0,0,0,0,0.49,0
22,0,0,0,0,0.6166666666666667,0
23,0,0,0,0,0.8266666666666667,0
24,0,0,0,0,0.89,0
25,0,0,0,0,0.8033333333333333,0
26,0,0,0,0,0.8766666666666666,0
27,0,0,0,0,0.8733333333333334,0
28,0,0,0,0,0.89,0
29,0,0,0,0,0.89,0
30,0,0,0,0,0.8766666666666666,0
31,0,0,0,0,0.8133333333333334,0
32,0,0,0,0,0.8466666666666667,0
33,0,0,0,0,0.8166666666666668,0
34,0,0,0,0,0.8366666666666666,0
35,0,0,0,0,0.9166666666666666,0
36,0,0,0,0,0.9066666666666666,0
37,0,0,0,0,0.8533333333333332,0
38,0,0,0,0,0.8366666666666666,0
39,0,0,0,0,0.7533333333333333,0
40,0,0,0,0,0.7433333333333333,0
41,0,0,0,0,0.7666666666666666,0
42,0,0,0.7699999999999999,0,0,0
43,0,0,0,0,0.7666666666666666,0
44,0,0,0.7325,0,0,0
45,0,0.745,0,0,0,0
46,0,0.795,0,0,0,0
47,0,0.87,0,0,0,0
48,0,0.8650000000000001,0,0,0,0
49,0,0.89,0,0,0,0
50,0,0.8200000000000001,0,0,0,0
51,0,0.8,0,0,0,0
52,0,0.8450000000000001,0,0,0,0
53,0,0,0,0,0.85,0
54,0,0,0,0,0.8733333333333334,0
55,0,0,0,0,0.8866666666666667,0
56,0,0,0,0,0.9433333333333334,0
57,0,0,0,0,0.9933333333333333,0
58,0,0,0,0,1.0066666666666666,0
59,0,0,0,0,1.0499999999999998,0
60,0,0,0,0,1.0266666666666666,0
61,0,0,0,0,1.04,0
62,0,0,0,0,1.0533333333333335,0
63,0,0,0,0,1.0966666666666667,0
64,0,0,0,0,1.0999999999999999,0
65,0,0,0,0,1.1233333333333333,0
66,0,0,0,0,1.1366666666666667,0
67,0,0,0,0,1.1133333333333333,0
68,0,0,0,0,1.1666666666666667,0
69,0,0,0,0,1.1933333333333334,0
70,0,0,0,0,1.1733333333333333,0
71,0,0,0,0,1.1666666666666667,0
72,0,0,0,0,1.0733333333333333,0
73,0,0,0,0,1.1366666666666667,0
74,0,0,0,0,1.16,0
75,0,0,0,0,1.11,0
76,0,0,0,0,1.0866666666666667,0
77,0,0,0,0,1.0566666666666666,0
78,1.09,0,0,0,0,0
79,0,0,1.0875,0,0,0
80,0,0,0,0,1.0966666666666667,0
81,1.105,0,0,0,0,0
82,1.06,0,0,0,0,0
83,0,0,0,0,1.0833333333333333,0
84,0,0,0,0,1.12,0
85,0,0,0,0,1.0999999999999999,0
86,0,0,0,0,1.1433333333333333,0
87,0,0,0,0,1.09,0
88,0,0,0,0,1.0766666666666669,0
89,1.06,0,0,0,0,0
90,0,0,0,0,1.0566666666666666,0
91,0,0,0,0,1.0866666666666667,0
92,0,0,0,0,1.1199999999999999,0
93,0,0,0,0,1.0933333333333333,0
94,0,0,0,0,1.1333333333333333,0
95,1.13,0,0,0,0,0
96,1.16,0,0,0,0,0
97,1.195,0,0,0,0,0
98,1.18,0,0,0,0,0
99,1.1849999999999998,0,0,0,0,0
100,1.2049999999999998,0,0,0,0,0
101,1.23,0,0,0,0,0
102,1.23,0,0,0,0,0
103,1.21,0,0,0,0,0
104,1.1849999999999998,0,0,0,0,0
105,1.15,0,0,0,0,0
106,1.2049999999999998,0,0,0,0,0
107,1.22,0,0,0,0,0
108,1.2,0,0,0,0,0
109,1.2049999999999998,0,0,0,0,0
110,1.2,0,0,0,0,0
111,1.2249999999999999,0,0,0,0,0
112,1.215,0,0,0,0,0
113,1.24,0,0,0,0,0
114,1.2149999999999999,0,0,0,0,0
115,1.245,0,0,0,0,0
116,1.22,0,0,0,0,0
117,1.1549999999999998,0,0,0,0,0
118,1.1199999999999999,0,0,0,0,0
119,0,0,0,0,1.093333333333333,0
120,0,0,0,0,1.0766666666666664,0
121,0,0,0,0,1.1933333333333334,0
122,0,0,0,0,1.1866666666666668,0
123,0,0,0,0,1.1866666666666668,0
124,0,0,0,0,1.2233333333333334,0
125,0,0,0,0,1.2100000000000002,0
126,0,0,0,0,1.22,0
127,0,0,0,0,1.2233333333333334,0
128,0,0,0,0,1.2033333333333334,0
129,0,0,0,0,1.2266666666666666,0
130,1.1749999999999998,0,0,0,0,0
131,1.175,0,0,0,0,0
132,1.18,0,0,0,0,0
133,1.1849999999999998,0,0,0,0,0
134,1.17,0,0,0,0,0
135,1.155,0,0,0,0,0
136,1.105,0,0,0,0,0
137,1.165,0,0,0,0,0
138,1.18,0,0,0,0,0
139,1.21,0,0,0,0,0
140,1.23,0,0,0,0,0
141,1.2750000000000001,0,0,0,0,0
142,1.24,0,0,0,0,0
143,1.3,0,0,0,0,0
144,1.345,0,0,0,0,0
145,1.35,0,0,0,0,0
146,1.38,0,0,0,0,0
147,1.335,0,0,0,0,0
148,1.3399999999999999,0,0,0,0,0
149,1.255,0,0,0,0,0
150,1.305,0,0,0,0,0
151,1.325,0,0,0,0,0
152,1.305,0,0,0,0,0
153,1.27,0,0,0,0,0
154,1.295,0,0,0,0,0
155,1.29,0,0,0,0,0
156,1.27,0,0,0,0,0
157,1.19,0,0,0,0,0
158,1.215,0,0,0,0,0
159,1.225,0,0,0,0,0
160,1.23,0,0,0,0,0
161,1.21,0,0,0,0,0
162,1.225,0,0,0,0,0
163,1.24,0,0,0,0,0
164,1.275,0,0,0,0,0
165,1.2550000000000001,0,0,0,0,0
166,1.235,0,0,0,0,0
167,1.23,0,0,0,0,0
168,1.245,0,0,0,0,0
169,1.28,0,0,0,0,0
170,1.28,0,0,0,0,0
171,1.2850000000000001,0,0,0,0,0
172,1.3050000000000002,0,0,0,0,0
173,1.275,0,0,0,0,0
174,1.245,0,0,0,0,0
175,1.2650000000000001,0,0,0,0,0
176,1.205,0,0,0,0,0
177,1.26,0,0,0,0,0
178,1.315,0,0,0,0,0
179,1.29,0,0,0,0,0
180,1.3,0,0,0,0,0
181,1.25,0,0,0,0,0
182,1.33,0,0,0,0,0
183,1.255,0,0,0,0,0
184,1.295,0,0,0,0,0
185,1.3350000000000002,0,0,0,0,0
186,1.305,0,0,0,0,0
187,1.27,0,0,0,0,0
188,1.295,0,0,0,0,0
189,1.295,0,0,0,0,0
190,1.3050000000000002,0,0,0,0,0
191,1.2799999999999998,0,0,0,0,0
192,1.245,0,0,0,0,0
193,1.2149999999999999,0,0,0,0,0
194,1.155,0,0,0,0,0
195,1.18,0,0,0,0,0
196,1.1749999999999998,0,0,0,0,0
197,1.175,0,0,0,0,0
198,1.165,0,0,0,0,0
199,1.185,0,0,0,0,0
200,1.24,0,0,0,0,0
201,1.2349999999999999,0,0,0,0,0
202,1.275,0,0,0,0,0
203,1.24,0,0,0,0,0
204,1.285,0,0,0,0,0
205,1.325,0,0,0,0,0
206,1.335,0,0,0,0,0
207,1.335,0,0,0,0,0
208,1.3450000000000002,0,0,0,0,0
209,1.325,0,0,0,0,0
210,1.3450000000000002,0,0,0,0,0
211,1.38,0,0,0,0,0
212,1.37,0,0,0,0,0
213,1.3849999999999998,0,0,0,0,0
214,1.3599999999999999,0,0,0,0,0
215,1.3,0,0,0,0,0
216,1.295,0,0,0,0,0
217,1.345,0,0,0,0,0
218,1.31,0,0,0,0,0
219,1.245,0,0,0,0,0
220,1.21,0,0,0,0,0
221,1.16,0,0,0,0,0
222,1.15,0,0,0,0,0
223,1.1300000000000001,0,0,0,0,0
224,1.075,0,0,0,0,0
225,1.035,0,0,0,0,0
226,0,0,1.0474999999999999,0,0,0
227,0,0,1.065,0,0,0
228,0,0,1.1175000000000002,0,0,0
229,0,0,1.16,0,0,0
230,0,0,1.1375,0,0,0
231,0,0,1.115,0,0,0
232,0,0,1.1225,0,0,0
233,0,0,1.0975000000000001,0,0,0
234,0,0,1.0925,0,0,0
235,0,0,1.1125,0,0,0
236,0,0,1.095,0,0,0
237,0,0,1.115,0,0,0
238,0,0,1.085,0,0,0
239,0,0,1.0899999999999999,0,0,0
240,0,0,1.08,0,0,0
241,0,0,1.07,0,0,0
242,0,0,1.0625,0,0,0
243,0,0,1.0925,0,0,0
244,0,0,1.045,0,0,0
245,0,0,1.055,0,0,0
246,0,0,1.065,0,0,0
247,0,0,1.11,0,0,0
248,0,0,1.0875,0,0,0
249,0,0,1.1125,0,0,0
250,0,0,1.09,0,0,0
251,0,0,1.0975,0,0,0
252,0,0,1.11,0,0,0
253,0,0,1.1325,0,0,0
254,0,0,1.1400000000000001,0,0,0
255,0,0,1.0875000000000001,0,0,0
256,0,0,1.1475,0,0,0
257,0,0,1.1475,0,0,0
258,0,0,1.1775,0,0,0
259,0,0,1.18,0,0,0
260,0,0,1.1575,0,0,0
261,0,0,1.1724999999999999,0,0,0
262,0,0,1.16,0,0,0
263,0,0,1.1675,0,0,0
264,0,0,1.13,0,0,0
265,0,0,1.07,0,0,0
266,0,0,1.115,0,0,0
267,0,0,1.125,0,0,0
268,0,0,1.0999999999999999,0,0,0
269,0,0,1.105,0,0,0
270,0,0,1.035,0,0,0
271,0,0,1.075,0,0,0
272,0,0,1.06,0,0,0
273,0,0,1.0675000000000001,0,0,0
274,0,0,1.0675000000000001,0,0,0
275,0,0,1.0975,0,0,0
276,0,0,1.1,0,0,0
277,0,0,1.095,0,0,0
278,0,0,1.08,0,0,0
279,0,0,1.0925,0,0,0
280,0,0,1.08,0,0,0
281,0,0,1.0825,0,0,0
282,0,0,1.0975,0,0,0
283,0,0,1.1025,0,0,0
284,0,0,1.0924999999999998,0,0,0
285,0,0,1.17,0,0,0
286,0,0,1.115,0,0,0
287,0,0,1.0975,0,0,0
288,0,0,1.0474999999999999,0,0,0
289,0,0,1.1575,0,0,0
290,0,0,1.0675,0,0,0
291,0,0,1.0875,0,0,0
292,0,0,1.0775000000000001,0,0,0
293,0,0,1.1,0,0,0
294,0,0,1.1475,0,0,0
295,0,0,1.1575,0,0,0
296,0,0,1.1099999999999999,0,0,0
297,0,0,1.2175,0,0,0
298,0,0,0,1.25,0,0
299,0,0,0,1.3166666666666667,0,0
300,0,0,0,1.3866666666666667,0,0
